"GID_0","NAME_0","GID_1","NAME_1","population","ITN_coverage_mean","ITN_coverage_pop_weighted","year"
"BWA","Botswana","BWA.1_1","Central",682436.674943745,0.00177045349550999,0.00117958732114681,2020
"BWA","Botswana","BWA.2_1","Chobe",26796.5966437459,0.00444896039797595,0.00361070724491849,2020
"BWA","Botswana","BWA.3_1","Francistown",67886.322022438,0.00058154649741482,0.000586064005440461,2020
"BWA","Botswana","BWA.4_1","Gaborone",150662.59569931,0.00117377024920036,0.00117949417863029,2020
"BWA","Botswana","BWA.5_1","Ghanzi",56726.4264952315,0.00156786701227597,0.00111688214556141,2020
"BWA","Botswana","BWA.6_1","Jwaneng",980.13566493988,0.000977732939645648,0.000977732939645648,2020
"BWA","Botswana","BWA.7_1","Kgalagadi",57501.6220392978,0.000516880244841793,0.000694105684574022,2020
"BWA","Botswana","BWA.8_1","Kgatleng",119273.455380797,0.00113946255111263,0.00111577444359986,2020
"BWA","Botswana","BWA.9_1","Kweneng",394971.843288163,0.000883146750164764,0.00114014679108926,2020
"BWA","Botswana","BWA.10_1","Lobatse",32185.2454223633,0.00117722409777343,0.00117722409777343,2020
"BWA","Botswana","BWA.11_1","North-East",124433.035699248,0.000509913686941239,0.000529488489020609,2020
"BWA","Botswana","BWA.12_1","North-West",182169.114724144,0.00407673022500809,0.00437389696821582,2020
"BWA","Botswana","BWA.13_1","Selibe Phikwe",29624.6735782623,0.000523631548276171,0.000526984360241576,2020
"BWA","Botswana","BWA.14_1","South-East",215058.919792101,0.00129990654189468,0.00115951066359443,2020
"BWA","Botswana","BWA.15_1","Southern",240741.572489332,0.00106673408501966,0.00109973139212071,2020
"BWA","Botswana","BWA.16_1","Sowa",0,NA,NA,2020
"CAF","Central African Republic","CAF.1_1","Bamingui-Bangoran",59014.5862508565,0,0,2020
"CAF","Central African Republic","CAF.2_1","Bangui",596165.841135025,0,0,2020
"CAF","Central African Republic","CAF.3_1","Basse-Kotto",335079.078368902,0,0,2020
"CAF","Central African Republic","CAF.4_1","Haut-Mbomou",77132.2598760696,9.10938384556725e-07,2.65061084489764e-08,2020
"CAF","Central African Republic","CAF.5_1","Haute-Kotto",123893.27804902,0,0,2020
"CAF","Central African Republic","CAF.6_1","Kémo",161411.398205355,0,0,2020
"CAF","Central African Republic","CAF.7_1","Lobaye",338923.269004703,0,0,2020
"CAF","Central African Republic","CAF.8_1","Mambéré-Kadéï",492316.015446961,0,0,2020
"CAF","Central African Republic","CAF.9_1","Mbomou",218640.675797297,0,0,2020
"CAF","Central African Republic","CAF.10_1","Nana-Grébizi",161311.240777656,0,0,2020
"CAF","Central African Republic","CAF.11_1","Nana-Mambéré",320765.169564605,0,0,2020
"CAF","Central African Republic","CAF.12_1","Ombella-M'Poko",748283.626664937,0,0,2020
"CAF","Central African Republic","CAF.13_1","Ouaka",379872.712767869,0,0,2020
"CAF","Central African Republic","CAF.15_1","Ouham",503265.844790727,0,0,2020
"CAF","Central African Republic","CAF.14_1","Ouham-Pendé",587948.205141902,0,0,2020
"CAF","Central African Republic","CAF.16_1","Sangha-Mbaéré",141958.024292648,0,0,2020
"CAF","Central African Republic","CAF.17_1","Vakaga",71000.7414052002,0,0,2020
