"GID_0","NAME_0","GID_1","NAME_1","population","coverage_mean","coverage_pop_weighted","year"
"MLI","Mali","MLI.1_1","Bamako",2784734.72042847,0,0,2018
"MLI","Mali","MLI.2_1","Gao",822324.764701657,0,0,2018
"MLI","Mali","MLI.3_1","Kayes",2719629.22312331,0,0,2018
"MLI","Mali","MLI.4_1","Kidal",116173.990316808,0,0,2018
"MLI","Mali","MLI.5_1","Koulikoro",4100352.0562674,0,0,2018
"MLI","Mali","MLI.6_1","Mopti",2715358.15687892,0.122018595752178,0.226717119384964,2018
"MLI","Mali","MLI.7_1","Ségou",3143035.26397532,0.000494613003410749,0.00061749414602889,2018
"MLI","Mali","MLI.8_1","Sikasso",3735407.75358021,0,0,2018
"MLI","Mali","MLI.9_1","Timbuktu",998758.15994757,0,0,2018
"MOZ","Mozambique","MOZ.1_1","Cabo Delgado",2035207.35153063,0,0,2018
"MOZ","Mozambique","MOZ.2_1","Gaza",1470970.63078794,9.54900082258318e-06,1.27750576772997e-06,2018
"MOZ","Mozambique","MOZ.3_1","Inhambane",1425510.75965486,0,0,2018
"MOZ","Mozambique","MOZ.4_1","Manica",2156209.07591958,0,0,2018
"MOZ","Mozambique","MOZ.6_1","Maputo",1014844.45358681,8.73886029819479e-05,6.40212045430691e-05,2018
"MOZ","Mozambique","MOZ.5_1","Maputo City",2034242.36718512,0,0,2018
"MOZ","Mozambique","MOZ.7_1","Nampula",5548113.99699402,0,0,2018
"MOZ","Mozambique","MOZ.8_1","Nassa",1978773.82064093,0,0,2018
"MOZ","Mozambique","MOZ.9_1","Sofala",2134614.86191571,0,0,2018
"MOZ","Mozambique","MOZ.10_1","Tete",3075730.78791548,0,0,2018
"MOZ","Mozambique","MOZ.11_1","Zambezia",5377648.8515687,0.156574870247328,0.148586157912011,2018
