"GID_0","NAME_0","GID_1","NAME_1","population","coverage_mean","coverage_pop_weighted","year"
"RWA","Rwanda","RWA.1_1","Amajyaruguru",1875165.23848629,0,0,2019
"RWA","Rwanda","RWA.2_1","Amajyepfo",3048018.9965111,0.146818344653757,0.170359837302738,2019
"RWA","Rwanda","RWA.3_1","Iburasirazuba",3619965.17352217,0.169120043448117,0.171287488340892,2019
"RWA","Rwanda","RWA.4_1","Iburengerazuba",2765329.27847314,0,0,2019
"RWA","Rwanda","RWA.5_1","Umujyi wa Kigali",1575085.60630798,0,0,2019
"SDN","Sudan","SDN.1_1","Al Jazirah",3862621.71867406,0.277544548264979,0.303440007096024,2019
"SDN","Sudan","SDN.2_1","Al Qadarif",1709942.32233402,0.00439007071660442,0.00507412840803298,2019
"SDN","Sudan","SDN.3_1","Blue Nile",1130883.99758679,0.000645335618927689,0.000807759319074187,2019
"SDN","Sudan","SDN.4_1","Central Darfur",777027.713144541,0,0,2019
"SDN","Sudan","SDN.5_1","East Darfur",2202416.24253464,9.44527885484517e-06,4.36132321500592e-06,2019
"SDN","Sudan","SDN.6_1","Kassala",2161533.40033138,0,0,2019
"SDN","Sudan","SDN.7_1","Khartoum",7182440.14163256,0.00305478315409055,0.0045452601295977,2019
"SDN","Sudan","SDN.8_1","North Darfur",3225630.20861399,0,0,2019
"SDN","Sudan","SDN.9_1","North Kurdufan",2767013.03515261,0,0,2019
"SDN","Sudan","SDN.10_1","Northern",892558.028534076,1.33954695584861e-05,2.92916596705246e-05,2019
"SDN","Sudan","SDN.11_1","Red Sea",2309038.78588308,0.000211503913824096,4.71136563194535e-05,2019
"SDN","Sudan","SDN.12_1","River Nile",1477758.17396024,0.0192827836543254,0.00826379888096654,2019
"SDN","Sudan","SDN.13_1","Sennar",1717983.13608837,0.277285897382571,0.319428238753214,2019
"SDN","Sudan","SDN.14_1","South Darfur",4123887.18540263,1.05201669926618e-05,4.84140740633829e-06,2019
"SDN","Sudan","SDN.15_1","South Kurdufan",882223.141735554,8.54843379564244e-05,4.78563027987917e-05,2019
"SDN","Sudan","SDN.16_1","West Darfur",805364.145296335,0,0,2019
"SDN","Sudan","SDN.17_1","West Kurdufan",1720520.89008564,5.25172184146871e-06,1.28538152067313e-06,2019
"SDN","Sudan","SDN.18_1","White Nile",2481425.07118779,0.0140579703544504,0.0193336390900435,2019
