"GID_0","NAME_0","GID_1","NAME_1","population","coverage_mean","coverage_pop_weighted","year"
"SEN","Senegal","SEN.1_1","Dakar",3264085.67841339,0,0,2019
"SEN","Senegal","SEN.2_1","Diourbel",1746069.86573219,0,0,2019
"SEN","Senegal","SEN.3_1","Fatick",851125.548648536,0,0,2019
"SEN","Senegal","SEN.4_1","Kaffrine",678498.013114929,0.175025161499277,0.118279365919084,2019
"SEN","Senegal","SEN.5_1","Kaolack",1114633.81347728,0.10685895035471,0.093171455690867,2019
"SEN","Senegal","SEN.6_1","Kédougou",179474.859204292,0,0,2019
"SEN","Senegal","SEN.7_1","Kolda",774038.258032262,0.00277136666700244,0.00275258658442716,2019
"SEN","Senegal","SEN.8_1","Louga",1032416.15570486,0,0,2019
"SEN","Senegal","SEN.9_1","Matam",640293.972960353,0,0,2019
"SEN","Senegal","SEN.10_1","Saint-Louis",1011452.9444645,0,0,2019
"SEN","Senegal","SEN.11_1","Sédhiou",535441.553945303,0.00207587678072064,0.00127132148313701,2019
"SEN","Senegal","SEN.12_1","Tambacounda",799690.343906522,0.0378635325821334,0.0511807734112244,2019
"SEN","Senegal","SEN.13_1","Thiès",2009940.10149002,0,0,2019
"SEN","Senegal","SEN.14_1","Ziguinchor",638411.425870314,0,0,2019
"SLE","Sierra Leone","SLE.1_1","Eastern",1460841.23798752,0,0,2019
"SLE","Sierra Leone","SLE.2_1","Northern",2222758.2792317,0,0,2019
"SLE","Sierra Leone","SLE.3_1","Southern",1525642.20171342,0,0,2019
"SLE","Sierra Leone","SLE.4_1","Western",1123922.27563286,0,0,2019
