"GID_0","NAME_0","GID_1","NAME_1","population","coverage_mean","coverage_pop_weighted","year"
"SOM","Somalia","SOM.1_1","Awdal",429246.277318716,0.00654407716084078,0.00584429002734024,2019
"SOM","Somalia","SOM.2_1","Bakool",441389.514759779,0.0640869856953075,0.060166096243284,2019
"SOM","Somalia","SOM.3_1","Banaadir",962195.685890198,0.0196803331907306,0.01476479415528,2019
"SOM","Somalia","SOM.4_1","Bari",543369.51863414,0.0139145293198165,0.0137774570619329,2019
"SOM","Somalia","SOM.5_1","Bay",892192.903814316,0.0333062233720564,0.0308809355446536,2019
"SOM","Somalia","SOM.6_1","Galguduud",475443.029664636,0.0580373428718548,0.0579087856557536,2019
"SOM","Somalia","SOM.7_1","Gedo",468241.715757728,0.0591351560025859,0.059499526161428,2019
"SOM","Somalia","SOM.8_1","Hiiraan",471746.509777308,0.0574189671370516,0.0577255664945493,2019
"SOM","Somalia","SOM.9_1","Jubbada Dhexe",345529.948075294,0.0732812436240516,0.080107122905673,2019
"SOM","Somalia","SOM.10_1","Jubbada Hoose",529649.910750754,0.0420340514999976,0.0470995971428184,2019
"SOM","Somalia","SOM.11_1","Mudug",502916.247917533,0.0192976268444962,0.01826431838928,2019
"SOM","Somalia","SOM.12_1","Nugaal",178329.787712097,0.0525874075919817,0.0520199830123424,2019
"SOM","Somalia","SOM.13_1","Sanaag",383600.099656224,0.00688138188179437,0.00702113674609806,2019
"SOM","Somalia","SOM.14_1","Shabeellaha Dhexe",750255.243737221,0.038691881755159,0.0365754325462079,2019
"SOM","Somalia","SOM.15_1","Shabeellaha Hoose",1293868.8181529,0.0164166961210661,0.0179944593510427,2019
"SOM","Somalia","SOM.16_1","Sool",214344.499089837,0.01252826824566,0.0122985759379569,2019
"SOM","Somalia","SOM.17_1","Togdheer",592548.271634102,0.00421718159999018,0.00420788854636893,2019
"SOM","Somalia","SOM.18_1","Woqooyi Galbeed",1001412.48840976,0.00269102803053036,0.00238140089980829,2019
"SSD","South Sudan","SSD.1_1","Central Equatoria",1802102.80654144,0.0106330226798278,0.0120003466697265,2019
"SSD","South Sudan","SSD.2_1","Eastern Equatoria",5248381.10986392,0.0199645765105101,0.0272271527797479,2019
"SSD","South Sudan","SSD.3_1","Jungoli",1992065.78508793,0.00933185786732569,0.00973195502740689,2019
"SSD","South Sudan","SSD.4_1","Lakes",880812.958188161,0.00657822657641895,0.00696173639592287,2019
"SSD","South Sudan","SSD.5_1","North Bahr-al-Ghazal",858727.99007833,0.00396655554985915,0.00455025702649042,2019
"SSD","South Sudan","SSD.6_1","Unity",916568.44116278,0.00909923660442484,0.00893362827549088,2019
"SSD","South Sudan","SSD.7_1","Upper Nile",1486183.0261817,0.0145140639574363,0.0138729722020709,2019
"SSD","South Sudan","SSD.8_1","Warap",1028767.52263814,0.00496540348397272,0.00495659837538443,2019
"SSD","South Sudan","SSD.9_1","West Bahr-al-Ghazal",322489.154588073,0.00295471604848589,0.00318455174842608,2019
"SSD","South Sudan","SSD.10_1","West Equatoria",917699.478902191,0.00327659293687812,0.00329339672393728,2019
