"GID_0","NAME_0","GID_1","NAME_1","population","coverage_mean","coverage_pop_weighted","year"
"SYC","Seychelles","SYC.1_1","Anse aux Pins",0,NA,NA,2017
"SYC","Seychelles","SYC.2_1","Anse Boileau",7921.79402923584,NA,0,2017
"SYC","Seychelles","SYC.3_1","Anse Étoile",0,NA,NA,2017
"SYC","Seychelles","SYC.4_1","Anse Royale",0,NA,NA,2017
"SYC","Seychelles","SYC.5_1","Au Cap",0,NA,NA,2017
"SYC","Seychelles","SYC.6_1","Baie Lazare",6960.51704406738,NA,0,2017
"SYC","Seychelles","SYC.7_1","Baie Sainte Anne",3144.01573944092,NA,0,2017
"SYC","Seychelles","SYC.8_1","Beau Vallon",0,NA,NA,2017
"SYC","Seychelles","SYC.9_1","Bel Air",0,NA,NA,2017
"SYC","Seychelles","SYC.10_1","Belombre",0,NA,NA,2017
"SYC","Seychelles","SYC.11_1","Cascade",0,NA,NA,2017
"SYC","Seychelles","SYC.12_1","English River",19765.29296875,NA,0,2017
"SYC","Seychelles","SYC.13_1","Glacis",5276.50296020508,NA,0,2017
"SYC","Seychelles","SYC.14_1","Grand' Anse",0,NA,NA,2017
"SYC","Seychelles","SYC.15_1","Grand'Anse Praslin",2913.38941955566,NA,0,2017
"SYC","Seychelles","SYC.16_1","La Digue and Inner Islands",3009.31267642975,NA,0,2017
"SYC","Seychelles","SYC.17_1","Les Mamelles",0,NA,NA,2017
"SYC","Seychelles","SYC.18_1","Mont Buxton",0,NA,NA,2017
"SYC","Seychelles","SYC.19_1","Mont Fleuri",0,NA,NA,2017
"SYC","Seychelles","SYC.20_1","Outer Islands",250.972339570522,NA,0,2017
"SYC","Seychelles","SYC.21_1","Plaisance",11598.9690322876,NA,0,2017
"SYC","Seychelles","SYC.22_1","Pointe La Rue",0,NA,NA,2017
"SYC","Seychelles","SYC.23_1","Port Glaud",1902.18559646606,NA,0,2017
"SYC","Seychelles","SYC.24_1","Roche Caïman",0,NA,NA,2017
"SYC","Seychelles","SYC.25_1","Saint Louis",0,NA,NA,2017
"SYC","Seychelles","SYC.26_1","Takamaka",2391.58177185059,NA,0,2017
"TCD","Chad","TCD.1_1","Barh el Ghazel",381222.583749533,0,0,2017
"TCD","Chad","TCD.2_1","Batha",634459.156372964,0,0,2017
"TCD","Chad","TCD.3_1","Borkou",202902.27899918,0,0,2017
"TCD","Chad","TCD.4_1","Chari-Baguirmi",797471.668212712,0,0,2017
"TCD","Chad","TCD.5_1","Ennedi Est",221696.219736479,0,0,2017
"TCD","Chad","TCD.6_1","Ennedi Ouest",88870.8559030965,0,0,2017
"TCD","Chad","TCD.7_1","Guéra",713928.2509377,0,0,2017
"TCD","Chad","TCD.8_1","Hadjer-Lamis",706043.787853986,0,0,2017
"TCD","Chad","TCD.9_1","Kanem",480134.846532136,0,0,2017
"TCD","Chad","TCD.10_1","Lac",564505.640840292,0,0,2017
"TCD","Chad","TCD.11_1","Logone Occidental",786955.090202332,0,0,2017
"TCD","Chad","TCD.12_1","Logone Oriental",1119675.14103365,0,0,2017
"TCD","Chad","TCD.13_1","Mandoul",795132.422488391,0,0,2017
"TCD","Chad","TCD.14_1","Mayo-Kebbi Est",959685.583752036,0,0,2017
"TCD","Chad","TCD.15_1","Mayo-Kebbi Ouest",691420.920541167,0,0,2017
"TCD","Chad","TCD.16_1","Moyen-Chari",751148.241301753,0,0,2017
"TCD","Chad","TCD.17_1","Ouaddaï",1019891.85331726,0,0,2017
"TCD","Chad","TCD.18_1","Salamat",387283.576972127,0,0,2017
"TCD","Chad","TCD.19_1","Sila",548286.423512459,0,0,2017
"TCD","Chad","TCD.20_1","Tandjilé",793593.252793312,0,0,2017
"TCD","Chad","TCD.21_1","Tibesti",36353.2103623003,0,0,2017
"TCD","Chad","TCD.22_1","Ville de N'Djamena",1072156.60624313,0,0,2017
"TCD","Chad","TCD.23_1","Wadi Fira",855042.762459159,0,0,2017
