"GID_0","NAME_0","GID_1","NAME_1","GID_2","NAME_2","population","ITN_coverage_mean","ITN_coverage_pop_weighted","year"
"BWA","Botswana","BWA.1_1","Central","BWA.1.1_1","Bobonong",96639.6005924169,0.000609271280385257,0.00058588405535462,2020
"BWA","Botswana","BWA.1_1","Central","BWA.1.2_1","Lethlakane",76628.7677295865,0.00339168855379842,0.00284906557367642,2020
"BWA","Botswana","BWA.1_1","Central","BWA.1.3_1","Machaneng",49897.9568720947,0.000718744699287214,0.000709385822903045,2020
"BWA","Botswana","BWA.1_1","Central","BWA.1.4_1","Mahalapye",77363.5067991614,0.00117468343392408,0.00109210112709757,2020
"BWA","Botswana","BWA.1_1","Central","BWA.1.5_1","Palapye",82437.9239063867,0.000528873572844584,0.000567856668914727,2020
"BWA","Botswana","BWA.1_1","Central","BWA.1.6_1","Serowe",125121.213179366,0.000881064842884826,0.000711107539872282,2020
"BWA","Botswana","BWA.1_1","Central","BWA.1.7_1","Tuli",2399.42631830974,0.000835048279102741,0.000941709681647319,2020
"BWA","Botswana","BWA.1_1","Central","BWA.1.8_1","Tutume",171948.279546424,0.0023017853173455,0.00158257391500592,2020
"BWA","Botswana","BWA.2_1","Chobe","BWA.2.1_1","Chobe",26796.5966437459,0.00444896039797595,0.00361070724491849,2020
"BWA","Botswana","BWA.3_1","Francistown","BWA.3.1_1","Francistown",67886.322022438,0.00058154649741482,0.000586064005440461,2020
"BWA","Botswana","BWA.4_1","Gaborone","BWA.4.1_1","Gaborone",150662.59569931,0.00117377024920036,0.00117949417863029,2020
"BWA","Botswana","BWA.5_1","Ghanzi","BWA.5.1_1","Ghanzi",56726.4264952315,0.00156786701227597,0.00111688214556141,2020
"BWA","Botswana","BWA.6_1","Jwaneng","BWA.6.1_1","Jwaneng",980.13566493988,0.000977732939645648,0.000977732939645648,2020
"BWA","Botswana","BWA.7_1","Kgalagadi","BWA.7.1_1","Gemsbok",145.156567582977,0.00038289801504116,0.000415443705733105,2020
"BWA","Botswana","BWA.7_1","Kgalagadi","BWA.7.2_1","Hukunsti",24879.8654396197,0.000462362991524977,0.000482044402990729,2020
"BWA","Botswana","BWA.7_1","Kgalagadi","BWA.7.3_1","Tshabong",32476.6000320952,0.000695821558125727,0.000857808343160697,2020
"BWA","Botswana","BWA.8_1","Kgatleng","BWA.8.1_1","Kgatleng",119273.455380797,0.00113946255111263,0.00111577444359986,2020
"BWA","Botswana","BWA.9_1","Kweneng","BWA.9.1_1","Kweneng North",320799.061938195,0.00118410932290532,0.00117838718551938,2020
"BWA","Botswana","BWA.9_1","Kweneng","BWA.9.2_1","Kweneng South",74172.7813499682,0.000774617162022259,0.000974756166144961,2020
"BWA","Botswana","BWA.10_1","Lobatse","BWA.10.1_1","Lobatse",32185.2454223633,0.00117722409777343,0.00117722409777343,2020
"BWA","Botswana","BWA.11_1","North-East","BWA.11.1_1","Masungu",124433.035699248,0.000509913686941239,0.000529488489020609,2020
"BWA","Botswana","BWA.12_1","North-West","BWA.12.1_1","Ngamiland East",112731.828365102,0.00466802735227896,0.00478715072424985,2020
"BWA","Botswana","BWA.12_1","North-West","BWA.12.2_1","Ngamiland West",69437.2863590419,0.00354586504777145,0.00370297715064729,2020
"BWA","Botswana","BWA.13_1","Selibe Phikwe","BWA.13.1_1","Selibe Phikwe",29624.6735782623,0.000523631548276171,0.000526984360241576,2020
"BWA","Botswana","BWA.14_1","South-East","BWA.14.1_1","South East",215058.919792101,0.00129990654189468,0.00115951066359443,2020
"BWA","Botswana","BWA.15_1","Southern","BWA.15.1_1","Barolong",59493.5904795192,0.00121177133621165,0.00115821144538306,2020
"BWA","Botswana","BWA.15_1","Southern","BWA.15.2_1","Ngwaketse Central",24037.0604628921,0.00114418651636846,0.00105337179574157,2020
"BWA","Botswana","BWA.15_1","Southern","BWA.15.3_1","Ngwaketse North",111727.115033984,0.000869159615069569,0.000960561106247501,2020
"BWA","Botswana","BWA.15_1","Southern","BWA.15.4_1","Ngwaketse South",45483.8065129369,0.00142941538475268,0.00138959839383061,2020
"BWA","Botswana","BWA.16_1","Sowa","BWA.16.1_1","Sowa",0,NA,NA,2020
"CAF","Central African Republic","CAF.1_1","Bamingui-Bangoran","CAF.1.1_1","Bamingui",9680.34419499338,0,0,2020
"CAF","Central African Republic","CAF.1_1","Bamingui-Bangoran","CAF.1.2_1","Ndélé",49334.2420558631,0,0,2020
"CAF","Central African Republic","CAF.2_1","Bangui","CAF.2.1_1","Bangui",596165.841135025,0,0,2020
"CAF","Central African Republic","CAF.3_1","Basse-Kotto","CAF.3.1_1","Alindao",96495.7351959348,0,0,2020
"CAF","Central African Republic","CAF.3_1","Basse-Kotto","CAF.3.2_1","Kembé",90088.5611730814,0,0,2020
"CAF","Central African Republic","CAF.3_1","Basse-Kotto","CAF.3.3_1","Mingala",31721.8227774501,0,0,2020
"CAF","Central African Republic","CAF.3_1","Basse-Kotto","CAF.3.4_1","Mobaye",116772.959222436,0,0,2020
"CAF","Central African Republic","CAF.4_1","Haut-Mbomou","CAF.4.1_1","Djemah",2413.24634735845,1.50487936644735e-06,8.47189118271172e-07,2020
"CAF","Central African Republic","CAF.4_1","Haut-Mbomou","CAF.4.2_1","Obo",45610.3710020212,0,0,2020
"CAF","Central African Republic","CAF.4_1","Haut-Mbomou","CAF.4.3_1","Zémio",29108.6425266899,0,0,2020
"CAF","Central African Republic","CAF.5_1","Haute-Kotto","CAF.5.1_1","Bria",95040.8648749888,0,0,2020
