"GID_0","NAME_0","GID_1","NAME_1","GID_2","NAME_2","population","ITN_coverage_mean","ITN_coverage_pop_weighted","year"
"UGA","Uganda","UGA.1_1","Adjumani","UGA.1.1_1","East Moyo",246593.044848084,0.172850244368116,0.177247299000132,2020
"UGA","Uganda","UGA.2_1","Apac","UGA.2.1_1","Kole",294911.967269897,0.182814243733883,0.183170604421522,2020
"UGA","Uganda","UGA.2_1","Apac","UGA.2.2_1","Kwania",231079.595681906,0.141512843615869,0.145532518653899,2020
"UGA","Uganda","UGA.2_1","Apac","UGA.2.3_1","Maruzi",226524.07243681,0.122826292244501,0.129884946906778,2020
"UGA","Uganda","UGA.2_1","Apac","UGA.2.4_1","Oyam",444149.237621307,0.17408818655675,0.175452810436025,2020
"UGA","Uganda","UGA.3_1","Arua","UGA.3.1_1","Arua Municipality",0,NA,NA,2020
"UGA","Uganda","UGA.3_1","Arua","UGA.3.2_1","Ayivu",318914.595581055,0.0604450851678848,0.0599991354464204,2020
"UGA","Uganda","UGA.3_1","Arua","UGA.3.3_1","Koboko",250339.993225098,0.0470997457547734,0.0496041720064368,2020
"UGA","Uganda","UGA.3_1","Arua","UGA.3.4_1","Madi-Okollo",158188.828090191,0.112965744263247,0.111136136834224,2020
"UGA","Uganda","UGA.3_1","Arua","UGA.3.5_1","Maracha",219647.958999634,0.0512591139836745,0.0517579759546366,2020
"UGA","Uganda","UGA.3_1","Arua","UGA.3.6_1","Terego",260443.280958176,0.0842870633221335,0.0746971050162195,2020
"UGA","Uganda","UGA.3_1","Arua","UGA.3.7_1","Vurra",158130.65256691,0.0722328817119469,0.0683269991450581,2020
"UGA","Uganda","UGA.4_1","Bugiri","UGA.4.1_1","Bukooli",689691.622556686,0.0532201027373473,0.0537692436623729,2020
"UGA","Uganda","UGA.5_1","Bundibugyo","UGA.5.1_1","Bwamba",247622.464874268,0.0530461097757022,0.0569316876113255,2020
"UGA","Uganda","UGA.5_1","Bundibugyo","UGA.5.2_1","Ntoroko",57864.4242904186,0.0804207916107943,0.0757022230273796,2020
"UGA","Uganda","UGA.6_1","Bushenyi","UGA.6.1_1","Buhweju",129024.067661285,0.0452729287743568,0.0449446619108235,2020
"UGA","Uganda","UGA.6_1","Bushenyi","UGA.6.2_1","Bunyaruguru",157262.288921192,0.0474077435476439,0.0593416524365944,2020
"UGA","Uganda","UGA.6_1","Bushenyi","UGA.6.3_1","Igara",270459.640467644,0.0483610478594251,0.047459902815536,2020
"UGA","Uganda","UGA.6_1","Bushenyi","UGA.6.4_1","Ruhinda",175690.539356232,0.0483406412860622,0.0483013515580433,2020
"UGA","Uganda","UGA.6_1","Bushenyi","UGA.6.5_1","Sheema",218195.175247192,0.0462503979215398,0.0463628640711696,2020
"UGA","Uganda","UGA.7_1","Busia","UGA.7.1_1","Samia-Bugwe",301805.23658371,0.0473662682343274,0.0462695449882907,2020
"UGA","Uganda","UGA.8_1","Gulu","UGA.8.1_1","Aswa",155568.612575054,0.247342961021217,0.238529616189441,2020
"UGA","Uganda","UGA.8_1","Gulu","UGA.8.2_1","Gulu",150528.926696777,0.229620672762394,0.229285831589918,2020
