"GID_0","NAME_0","GID_1","NAME_1","population","ITN_coverage_mean","ITN_coverage_pop_weighted"
"AGO","Angola","AGO.1_1","Bengo",630423.812533811,0.16945954538464,0.195907173705486
"AGO","Angola","AGO.2_1","Benguela",1910804.06391013,0.113423229845719,0.12620693863586
"AGO","Angola","AGO.3_1","Bié",1079362.39245036,0.0950877118143051,0.0900364862653476
"AGO","Angola","AGO.4_1","Cabinda",1220604.83241992,0.241194824393565,0.252692526703282
"AGO","Angola","AGO.5_1","Cuando Cubango",416756.049498595,0.103243343723786,0.113127429725492
"AGO","Angola","AGO.6_1","Cuanza Norte",346566.948730189,0.130741597786281,0.136351284946774
"AGO","Angola","AGO.7_1","Cuanza Sul",1872568.07023459,0.105866109618807,0.10966447810227
"AGO","Angola","AGO.8_1","Cunene",1245089.56874862,0.092968386646116,0.0931033485455216
"AGO","Angola","AGO.9_1","Huambo",1679131.2224035,0.0729556936278214,0.0750082138397781
"AGO","Angola","AGO.10_1","Huíla",3204264.21985912,0.0739250331198221,0.0710227444099397
"AGO","Angola","AGO.11_1","Luanda",15241357.5096855,0.19077471188373,0.195998772891822
"AGO","Angola","AGO.12_1","Lunda Norte",878206.845583051,0.117332172503084,0.128984419874402
"AGO","Angola","AGO.13_1","Lunda Sul",516872.311698422,0.114737639844659,0.114572994927417
"AGO","Angola","AGO.14_1","Malanje",946501.59828857,0.119299705696689,0.12805344078093
"AGO","Angola","AGO.15_1","Moxico",1187598.14652974,0.132117573688023,0.137771135827032
"AGO","Angola","AGO.16_1","Namibe",607222.417046309,0.102415748020769,0.101554394126985
"AGO","Angola","AGO.17_1","Uíge",904249.437147379,0.129644645837874,0.121881262668348
"AGO","Angola","AGO.18_1","Zaire",753546.245653603,0.182418417073983,0.193904650713492
"BDI","Burundi","BDI.1_1","Bubanza",420145.683761597,0.105566381942481,0.111611313605627
"BDI","Burundi","BDI.2_1","Bujumbura Mairie",859432.817626953,0.0935784123837948,0.135227675379962
"BDI","Burundi","BDI.3_1","Bujumbura Rural",807568.327159166,0.0685468434657849,0.0889557769452692
"BDI","Burundi","BDI.4_1","Bururi",861433.549201965,0.109403271577321,0.145654863996594
"BDI","Burundi","BDI.5_1","Cankuzo",330864.427017212,0.245829570151511,0.235462983016578
"BDI","Burundi","BDI.6_1","Cibitoke",576816.31212616,0.138552378604396,0.149720544027511
"BDI","Burundi","BDI.7_1","Gitega",911101.340492249,0.103624889999628,0.102959419562071
"BDI","Burundi","BDI.8_1","Karuzi",540975.994850159,0.161251089590437,0.160343875777702
"BDI","Burundi","BDI.9_1","Kayanza",844369.972763062,0.0943720916715952,0.0973479232537798
"BDI","Burundi","BDI.10_1","Kirundo",847842.91530633,0.350147243030369,0.355312275178636
"BDI","Burundi","BDI.11_1","Makamba",572689.993829489,0.226166505366564,0.299390277349538
"BDI","Burundi","BDI.12_1","Muramvya",350438.489089966,0.0610206452829223,0.0632877050311053
"BDI","Burundi","BDI.13_1","Muyinga",991327.835639954,0.293061334926348,0.304935249651095
"BDI","Burundi","BDI.14_1","Mwaro",347101.864044189,0.0600308135740067,0.061582610956069
"BDI","Burundi","BDI.15_1","Ngozi",828642.934295654,0.181303801399375,0.165720984447261
"BDI","Burundi","BDI.16_1","Rutana",530022.941261292,0.2121855102826,0.21822414437624
"BDI","Burundi","BDI.17_1","Ruyigi",597803.101558685,0.20597498871169,0.217842921196821
