"GID_0","NAME_0","GID_1","NAME_1","population","coverage_mean","coverage_pop_weighted","year"
"BEN","Benin","BEN.1_1","Alibori",1197983.46787262,0.82340665493679,0.814670566554437,2020
"BEN","Benin","BEN.2_1","Atakora",1035398.63365936,0.722761797363108,0.711126915921659,2020
"BEN","Benin","BEN.3_1","Atlantique",2058978.81917858,0.91773182359235,0.935829247606964,2020
"BEN","Benin","BEN.4_1","Borgou",1683825.45304012,0.776315610395944,0.780102385231983,2020
"BEN","Benin","BEN.5_1","Collines",860192.522418022,0.846003869703426,0.844818981770201,2020
"BEN","Benin","BEN.6_1","Donga",709088.468332291,0.823849857196698,0.810031925413961,2020
"BEN","Benin","BEN.7_1","Kouffo",918218.641283035,0.896736544629802,0.898187304033713,2020
"BEN","Benin","BEN.8_1","Littoral",417938.481445312,0.929192006587982,0.928423445358365,2020
"BEN","Benin","BEN.9_1","Mono",580919.921424866,0.941100429844212,0.932661191939804,2020
"BEN","Benin","BEN.10_1","Ouémé",1290955.405159,0.901992704908727,0.876754918630984,2020
"BEN","Benin","BEN.11_1","Plateau",793508.881062984,0.837733621292926,0.797525495875454,2020
"BEN","Benin","BEN.12_1","Zou",1071180.28944969,0.896996392389384,0.903063421661149,2020
"BFA","Burkina Faso","BFA.1_1","Boucle du Mouhoun",1917593.22289473,0.710790502051621,0.700095945456938,2020
"BFA","Burkina Faso","BFA.2_1","Cascades",1135196.98297286,0.644490812544655,0.653299272933708,2020
"BFA","Burkina Faso","BFA.7_1","Centre",4193918.02395058,0.572555469458594,0.585222023947188,2020
"BFA","Burkina Faso","BFA.3_1","Centre-Est",1695088.53459144,0.439688518428045,0.43538978753304,2020
"BFA","Burkina Faso","BFA.4_1","Centre-Nord",1741130.25023937,0.536330094496073,0.539390255920886,2020
"BFA","Burkina Faso","BFA.5_1","Centre-Ouest",1709250.87162685,0.636982202014593,0.632808598039568,2020
"BFA","Burkina Faso","BFA.6_1","Centre-Sud",884817.221496403,0.544000375336104,0.540792730691832,2020
"BFA","Burkina Faso","BFA.8_1","Est",2029901.50039211,0.457822739071591,0.462767460024624,2020
"BFA","Burkina Faso","BFA.9_1","Haut-Bassins",2482419.46409488,0.615894417186094,0.612212142532735,2020
"BFA","Burkina Faso","BFA.10_1","Nord",1589882.22960258,0.675891036136894,0.673584684491625,2020
"BFA","Burkina Faso","BFA.11_1","Plateau-Central",949344.602345943,0.506538023911237,0.507014131778329,2020
"BFA","Burkina Faso","BFA.12_1","Sahel",1484485.04733276,0.49916978299029,0.495785975374964,2020
"BFA","Burkina Faso","BFA.13_1","Sud-Ouest",916531.495243073,0.443197601970625,0.449005624665795,2020
