"GID_0","NAME_0","GID_1","NAME_1","population","coverage_mean","coverage_pop_weighted","year"
"BWA","Botswana","BWA.1_1","Central",653769.58849631,8.16821159352406e-05,4.53177371313199e-05,2017
"BWA","Botswana","BWA.2_1","Chobe",24858.1911789775,0.000346585876283015,0.00037883462166658,2017
"BWA","Botswana","BWA.3_1","Francistown",63470.3239526749,0,0,2017
"BWA","Botswana","BWA.4_1","Gaborone",143603.824691772,0,0,2017
"BWA","Botswana","BWA.5_1","Ghanzi",52197.9692715388,0,0,2017
"BWA","Botswana","BWA.6_1","Jwaneng",884.252571105957,0,0,2017
"BWA","Botswana","BWA.7_1","Kgalagadi",54373.5937320879,0,0,2017
"BWA","Botswana","BWA.8_1","Kgatleng",110949.743921399,0,0,2017
"BWA","Botswana","BWA.9_1","Kweneng",363885.060654453,0,0,2017
"BWA","Botswana","BWA.10_1","Lobatse",31514.8490600586,0,0,2017
"BWA","Botswana","BWA.11_1","North-East",118590.770712912,0,0,2017
"BWA","Botswana","BWA.12_1","North-West",171603.811352894,0,0,2017
"BWA","Botswana","BWA.13_1","Selibe Phikwe",30888.4402179718,0,0,2017
"BWA","Botswana","BWA.14_1","South-East",196437.357615501,0,0,2017
"BWA","Botswana","BWA.15_1","Southern",230465.154934864,0,0,2017
"BWA","Botswana","BWA.16_1","Sowa",0,NA,NA,2017
"CAF","Central African Republic","CAF.1_1","Bamingui-Bangoran",55641.7691815272,0.486156606965739,0.505000209292574,2017
"CAF","Central African Republic","CAF.2_1","Bangui",551019.902305603,0.557556474208832,0.513473026045389,2017
"CAF","Central African Republic","CAF.3_1","Basse-Kotto",316215.765869468,0.573857382112045,0.580956040919249,2017
"CAF","Central African Republic","CAF.4_1","Haut-Mbomou",72828.9388879109,0.427926563927656,0.505621728506945,2017
"CAF","Central African Republic","CAF.5_1","Haute-Kotto",117093.259683674,0.421762627356608,0.479242145512934,2017
"CAF","Central African Republic","CAF.6_1","Kémo",152476.482646525,0.545283947842682,0.552176777821993,2017
"CAF","Central African Republic","CAF.7_1","Lobaye",319965.874634713,0.512521818401087,0.531632112191317,2017
"CAF","Central African Republic","CAF.8_1","Mambéré-Kadéï",465018.797642469,0.414135640225604,0.414681191476247,2017
"CAF","Central African Republic","CAF.9_1","Mbomou",206085.724738088,0.477083353696137,0.536966355260412,2017
"CAF","Central African Republic","CAF.10_1","Nana-Grébizi",152319.588525169,0.489169985411097,0.52124136425052,2017
"CAF","Central African Republic","CAF.11_1","Nana-Mambéré",302807.598128915,0.375863610974113,0.384813865164448,2017
"CAF","Central African Republic","CAF.12_1","Ombella-M'Poko",703763.302925497,0.512163798632711,0.546288526833322,2017
"CAF","Central African Republic","CAF.13_1","Ouaka",358891.572000619,0.517468374669295,0.560010306817197,2017
"CAF","Central African Republic","CAF.15_1","Ouham",475421.481700704,0.495761924302578,0.517368287308455,2017
"CAF","Central African Republic","CAF.14_1","Ouham-Pendé",555024.203055322,0.471091584315037,0.481504456793378,2017
"CAF","Central African Republic","CAF.16_1","Sangha-Mbaéré",133991.911914855,0.388737977683893,0.41472893376892,2017
"CAF","Central African Republic","CAF.17_1","Vakaga",66927.7468293793,0.48620991462717,0.501231400202236,2017
