"GID_0","NAME_0","GID_1","NAME_1","population","coverage_mean","coverage_pop_weighted","year"
"CIV","Côte d'Ivoire","CIV.1_1","Abidjan",5167417.38300031,0.501635561190029,0.47951637507958,2018
"CIV","Côte d'Ivoire","CIV.2_1","Bas-Sassandra",2492601.80643785,0.463730559622907,0.471204989905059,2018
"CIV","Côte d'Ivoire","CIV.3_1","Comoé",1286275.2430858,0.468223692339235,0.456286299489038,2018
"CIV","Côte d'Ivoire","CIV.4_1","Denguélé",319894.655586243,0.547544728740152,0.540833984317582,2018
"CIV","Côte d'Ivoire","CIV.5_1","Gôh-Djiboua",1790336.20421886,0.49105803668499,0.491536003074463,2018
"CIV","Côte d'Ivoire","CIV.6_1","Lacs",1396147.06054914,0.479076653742982,0.483371709290343,2018
"CIV","Côte d'Ivoire","CIV.7_1","Lagunes",1536475.88162929,0.518493481608567,0.52062518682438,2018
"CIV","Côte d'Ivoire","CIV.8_1","Montagnes",2667129.67200148,0.514240262674147,0.523935457664376,2018
"CIV","Côte d'Ivoire","CIV.9_1","Sassandra-Marahoué",2604870.62993479,0.507301964758784,0.502619841315449,2018
"CIV","Côte d'Ivoire","CIV.10_1","Savanes",1843706.74559014,0.504485441550918,0.509215336090556,2018
"CIV","Côte d'Ivoire","CIV.11_1","Vallée du Bandama",1524305.45601797,0.461696548292405,0.461869299955891,2018
"CIV","Côte d'Ivoire","CIV.12_1","Woroba",959502.173004389,0.579769011106465,0.563630485479482,2018
"CIV","Côte d'Ivoire","CIV.13_1","Yamoussoukro",386921.629480362,0.499170930422458,0.491539499359606,2018
"CIV","Côte d'Ivoire","CIV.14_1","Zanzan",1001033.25665116,0.350730823615397,0.363005938629245,2018
"CMR","Cameroon","CMR.1_1","Adamaoua",1369197.91797748,0.443521239958197,0.434517991135569,2018
"CMR","Cameroon","CMR.2_1","Centre",5314333.60833728,0.577725402102013,0.723505762602928,2018
"CMR","Cameroon","CMR.3_1","Est",1018574.66414154,0.424550814379,0.409167117178983,2018
"CMR","Cameroon","CMR.4_1","Extrême-Nord",4341461.84596424,0.822157213635415,0.807967957453283,2018
"CMR","Cameroon","CMR.5_1","Littoral",4021887.4607268,0.640974867090266,0.615679473852183,2018
"CMR","Cameroon","CMR.7_1","Nord",2901170.20918956,0.656910954897132,0.679148315961309,2018
"CMR","Cameroon","CMR.6_1","Nord-Ouest",2257390.35915256,0.486975757901406,0.516174198296088,2018
"CMR","Cameroon","CMR.8_1","Ouest",2082257.27062723,0.510985212914783,0.536295587098697,2018
"CMR","Cameroon","CMR.10_1","Sud",920605.879656196,0.577535670300748,0.615541680544605,2018
"CMR","Cameroon","CMR.9_1","Sud-Ouest",1900934.24170363,0.561538216101686,0.545619693638957,2018
