"GID_0","NAME_0","GID_1","NAME_1","population","coverage_mean","coverage_pop_weighted","year"
"NER","Niger","NER.1_1","Agadez",671296.369556883,0.407980128127819,0.57580849980358,2020
"NER","Niger","NER.2_1","Diffa",889355.058534212,0.400754429540138,0.715598018357169,2020
"NER","Niger","NER.3_1","Dosso",2552224.34229946,0.878120189309515,0.891237865534037,2020
"NER","Niger","NER.4_1","Maradi",4628321.64468849,0.807474140610014,0.84491055818068,2020
"NER","Niger","NER.5_1","Niamey",1192047.65099335,0.788247475028038,0.791354304967178,2020
"NER","Niger","NER.6_1","Tahoua",5019371.43744054,0.661064169662999,0.78222314875297,2020
"NER","Niger","NER.7_1","Tillabéry",3725538.92909145,0.703707499862406,0.713826342816013,2020
"NER","Niger","NER.8_1","Zinder",5260091.95394558,0.583211615226329,0.859169687973896,2020
"NGA","Nigeria","NGA.1_1","Abia",4242682.77242279,0.214902612480468,0.204896395570452,2020
"NGA","Nigeria","NGA.2_1","Adamawa",4589459.51340282,0.313642210418779,0.353407683085756,2020
"NGA","Nigeria","NGA.3_1","Akwa Ibom",5988934.18358135,0.279227984954577,0.275907648548437,2020
"NGA","Nigeria","NGA.4_1","Anambra",5869516.43431854,0.163678962546726,0.136414898336526,2020
"NGA","Nigeria","NGA.5_1","Bauchi",7226995.64345074,0.466743266111589,0.500722778794476,2020
"NGA","Nigeria","NGA.6_1","Bayelsa",2540359.80150127,0.276715610734702,0.235002615748175,2020
"NGA","Nigeria","NGA.7_1","Benue",6354369.55289841,0.451862859084738,0.451273903484319,2020
"NGA","Nigeria","NGA.8_1","Borno",6614194.82649994,0.405563673768319,0.416779368941471,2020
"NGA","Nigeria","NGA.9_1","Cross River",4326543.7683723,0.350289240226655,0.374653592275756,2020
"NGA","Nigeria","NGA.10_1","Delta",6304987.98897111,0.26612195502284,0.235197122177293,2020
"NGA","Nigeria","NGA.11_1","Ebonyi",3142078.40332794,0.443771615882233,0.458122214512101,2020
"NGA","Nigeria","NGA.12_1","Edo",4804837.08376551,0.373957535775844,0.359408797105113,2020
"NGA","Nigeria","NGA.13_1","Ekiti",3512323.60943794,0.195830328647441,0.185887061898085,2020
"NGA","Nigeria","NGA.14_1","Enugu",4832253.33425331,0.190997642727747,0.183185996768352,2020
"NGA","Nigeria","NGA.15_1","Federal Capital Territory",4801845.32012558,0.246253367941612,0.22846687325992,2020
"NGA","Nigeria","NGA.16_1","Gombe",3706881.95759219,0.361715650972013,0.379536657244454,2020
"NGA","Nigeria","NGA.17_1","Imo",6060288.67178345,0.19504504647839,0.193096330374714,2020
"NGA","Nigeria","NGA.18_1","Jigawa",6414424.17365456,0.821436022692742,0.83023085817959,2020
"NGA","Nigeria","NGA.19_1","Kaduna",9244042.69056985,0.471199529370144,0.479976512913444,2020
"NGA","Nigeria","NGA.20_1","Kano",14734745.968008,0.65004177256908,0.635445045478801,2020
"NGA","Nigeria","NGA.21_1","Katsina",8722360.60884857,0.651285582848928,0.664130143477795,2020
"NGA","Nigeria","NGA.22_1","Kebbi",4972560.5572834,0.749089492424283,0.768065603685833,2020
"NGA","Nigeria","NGA.23_1","Kogi",4970065.69613576,0.45995967753493,0.457171421682069,2020
"NGA","Nigeria","NGA.24_1","Kwara",3576882.61219668,0.330068080077091,0.289780561209379,2020
"NGA","Nigeria","NGA.25_1","Lagos",13503263.790319,0.135063697972468,0.088703208499729,2020
"NGA","Nigeria","NGA.26_1","Nassarawa",2845545.8634423,0.529121406280534,0.523073834055523,2020
"NGA","Nigeria","NGA.27_1","Niger",6275807.3934609,0.357195020184617,0.306490317841896,2020
"NGA","Nigeria","NGA.28_1","Ogun",6151696.41499805,0.303858962112847,0.240743878213164,2020
"NGA","Nigeria","NGA.29_1","Ondo",5195516.79648638,0.473778893118319,0.45561460143037,2020
"NGA","Nigeria","NGA.30_1","Osun",5207910.53634548,0.229088494701441,0.217100296844296,2020
"NGA","Nigeria","NGA.31_1","Oyo",8707670.00483072,0.300415586910842,0.27930567681659,2020
"NGA","Nigeria","NGA.32_1","Plateau",4775830.95480156,0.28922918765123,0.299467504705924,2020
"NGA","Nigeria","NGA.33_1","Rivers",7252733.86810493,0.159034341088651,0.154042002377566,2020
"NGA","Nigeria","NGA.34_1","Sokoto",5588418.51554054,0.535224371143985,0.50776558483653,2020
"NGA","Nigeria","NGA.35_1","Taraba",3379233.73313349,0.172358780339056,0.181167107031691,2020
"NGA","Nigeria","NGA.36_1","Yobe",3713532.82344437,0.344721250314605,0.385831528399057,2020
"NGA","Nigeria","NGA.37_1","Zamfara",4957137.81262589,0.429560635900555,0.414778382657137,2020
