"GID_0","NAME_0","GID_1","NAME_1","GID_2","NAME_2","population","ITN_coverage_mean","ITN_coverage_pop_weighted"
"UGA","Uganda","UGA.1_1","Adjumani","UGA.1.1_1","East Moyo",246593.044848084,0.737403386996852,0.745598568007924
"UGA","Uganda","UGA.2_1","Apac","UGA.2.1_1","Kole",294911.967269897,0.641854463815689,0.641737256697904
"UGA","Uganda","UGA.2_1","Apac","UGA.2.2_1","Kwania",231079.595681906,0.721221054301542,0.718570502387514
"UGA","Uganda","UGA.2_1","Apac","UGA.2.3_1","Maruzi",226524.07243681,0.687887054543162,0.693484926769339
"UGA","Uganda","UGA.2_1","Apac","UGA.2.4_1","Oyam",444149.237621307,0.624809264546574,0.622721615604596
"UGA","Uganda","UGA.3_1","Arua","UGA.3.1_1","Arua Municipality",0,NA,NA
"UGA","Uganda","UGA.3_1","Arua","UGA.3.2_1","Ayivu",318914.595581055,0.656673066318035,0.654179920279051
"UGA","Uganda","UGA.3_1","Arua","UGA.3.3_1","Koboko",250339.993225098,0.687250582708253,0.678830620423479
"UGA","Uganda","UGA.3_1","Arua","UGA.3.4_1","Madi-Okollo",158188.828090191,0.734356447270042,0.730637720086978
"UGA","Uganda","UGA.3_1","Arua","UGA.3.5_1","Maracha",219647.958999634,0.663052358410575,0.663842251646294
"UGA","Uganda","UGA.3_1","Arua","UGA.3.6_1","Terego",260443.280958176,0.706727725488168,0.697610472891917
"UGA","Uganda","UGA.3_1","Arua","UGA.3.7_1","Vurra",158130.65256691,0.654325991063505,0.643737670049816
"UGA","Uganda","UGA.4_1","Bugiri","UGA.4.1_1","Bukooli",689691.622556686,0.70249495267868,0.70369411555067
"UGA","Uganda","UGA.5_1","Bundibugyo","UGA.5.1_1","Bwamba",247622.464874268,0.779530040091938,0.827373957188086
"UGA","Uganda","UGA.5_1","Bundibugyo","UGA.5.2_1","Ntoroko",57864.4242904186,0.787394089518853,0.782551227264613
"UGA","Uganda","UGA.6_1","Bushenyi","UGA.6.1_1","Buhweju",129024.067661285,0.734142892360687,0.728039897742571
"UGA","Uganda","UGA.6_1","Bushenyi","UGA.6.2_1","Bunyaruguru",157262.288921192,0.706015006984983,0.840535231511334
"UGA","Uganda","UGA.6_1","Bushenyi","UGA.6.3_1","Igara",270459.640467644,0.788152186766915,0.777894218963856
