"GID_0","NAME_0","GID_1","NAME_1","population","ITN_coverage_mean","ITN_coverage_pop_weighted"
"CIV","Côte d'Ivoire","CIV.1_1","Abidjan",5436150.55575085,0.232179007834137,0.148083034917907
"CIV","Côte d'Ivoire","CIV.2_1","Bas-Sassandra",2637842.54113507,0.34223633069175,0.328115475555921
"CIV","Côte d'Ivoire","CIV.3_1","Comoé",1332591.86239225,0.387193723403393,0.33093195092143
"CIV","Côte d'Ivoire","CIV.4_1","Denguélé",339064.679745674,0.227200875859184,0.205855143736345
"CIV","Côte d'Ivoire","CIV.5_1","Gôh-Djiboua",1893759.45995092,0.358055705401471,0.349575221575259
"CIV","Côte d'Ivoire","CIV.6_1","Lacs",1470226.67296842,0.51127621103679,0.48342250260127
"CIV","Côte d'Ivoire","CIV.7_1","Lagunes",1592867.56412983,0.326751382464272,0.29556653384524
"CIV","Côte d'Ivoire","CIV.8_1","Montagnes",2841965.37352306,0.355820065249134,0.32352104978626
"CIV","Côte d'Ivoire","CIV.9_1","Sassandra-Marahoué",2765795.76184186,0.480547521110178,0.433982337715877
"CIV","Côte d'Ivoire","CIV.10_1","Savanes",1977018.22337836,0.263532096477978,0.205787207727304
"CIV","Côte d'Ivoire","CIV.11_1","Vallée du Bandama",1584975.60154164,0.6725217177773,0.676243583794975
"CIV","Côte d'Ivoire","CIV.12_1","Woroba",1021181.78991795,0.483675758523526,0.515667691459833
"CIV","Côte d'Ivoire","CIV.13_1","Yamoussoukro",405161.917465568,0.474033233123956,0.394638468136745
"CIV","Côte d'Ivoire","CIV.14_1","Zanzan",1044722.94545803,0.386937849333679,0.335038292379122
"CMR","Cameroon","CMR.1_1","Adamaoua",1463667.30392109,0.255276874362632,0.228935945148558
"CMR","Cameroon","CMR.2_1","Centre",5802256.32784414,0.343740275935861,0.25363840944432
"CMR","Cameroon","CMR.3_1","Est",1067758.10368913,0.386689458876205,0.334712898606486
"CMR","Cameroon","CMR.4_1","Extrême-Nord",4586726.27017835,0.0822499440830646,0.0718782886909664
"CMR","Cameroon","CMR.5_1","Littoral",4404958.46634877,0.288471783864054,0.21789123114201
"CMR","Cameroon","CMR.7_1","Nord",3146378.3535651,0.191172297587612,0.140439994626824
"CMR","Cameroon","CMR.6_1","Nord-Ouest",2353609.06122077,0.262313981195439,0.216289942134347
"CMR","Cameroon","CMR.8_1","Ouest",2150541.51151375,0.240733151924025,0.20815178826224
"CMR","Cameroon","CMR.10_1","Sud",976744.530883431,0.453987170339753,0.421581562170153
"CMR","Cameroon","CMR.9_1","Sud-Ouest",1987840.30545152,0.312065744302124,0.2539961370437
