"GID_0","NAME_0","GID_1","NAME_1","population","ITN_coverage_mean","ITN_coverage_pop_weighted","year"
"COD","Democratic Republic of the Congo","COD.1_1","Bas-Uélé",1504147.71519624,0.556068072448483,0.532820915812045,2020
"COD","Democratic Republic of the Congo","COD.2_1","Équateur",2403361.6974444,0.347719943964102,0.293101754000924,2020
"COD","Democratic Republic of the Congo","COD.3_1","Haut-Katanga",10650248.6762778,0.356196227845084,0.221260161619094,2020
"COD","Democratic Republic of the Congo","COD.4_1","Haut-Lomami",7966491.07182675,0.387298079354657,0.333571277099241,2020
"COD","Democratic Republic of the Congo","COD.5_1","Haut-Uélé",2112455.91149318,0.537761089424558,0.46536005612808,2020
"COD","Democratic Republic of the Congo","COD.6_1","Ituri",6126072.25625855,0.367775017674765,0.349395311711241,2020
"COD","Democratic Republic of the Congo","COD.9_1","Kasaï",6289523.8754635,0.288513875192702,0.283843532520978,2020
"COD","Democratic Republic of the Congo","COD.7_1","Kasaï-Central",7223428.96672097,0.421492371805457,0.40955538373181,2020
"COD","Democratic Republic of the Congo","COD.8_1","Kasaï-Oriental",5690987.21604147,0.291560875748595,0.177927715693852,2020
"COD","Democratic Republic of the Congo","COD.10_1","Kinshasa",7797514.32673589,0.261233516331373,0.103195542422286,2020
"COD","Democratic Republic of the Congo","COD.11_1","Kongo-Central",3006921.571949,0.313998465087671,0.298967552455204,2020
"COD","Democratic Republic of the Congo","COD.12_1","Kwango",2344263.35754842,0.342181605090026,0.367511852428387,2020
"COD","Democratic Republic of the Congo","COD.13_1","Kwilu",4478208.1040704,0.325267849900189,0.301156382350013,2020
"COD","Democratic Republic of the Congo","COD.14_1","Lomami",4156480.71541649,0.379584093658572,0.427385391354835,2020
"COD","Democratic Republic of the Congo","COD.15_1","Lualaba",4029147.29477727,0.491419741218459,0.444604847018408,2020
"COD","Democratic Republic of the Congo","COD.16_1","Maï-Ndombe",1721819.89914561,0.315039951931772,0.24836523422951,2020
"COD","Democratic Republic of the Congo","COD.17_1","Maniema",3073233.61055857,0.298578319840102,0.253568428697864,2020
"COD","Democratic Republic of the Congo","COD.18_1","Mongala",2300029.63829777,0.371599476900265,0.343521731387235,2020
"COD","Democratic Republic of the Congo","COD.19_1","Nord-Kivu",9310629.71500723,0.24638803125925,0.115378209518517,2020
"COD","Democratic Republic of the Congo","COD.20_1","Nord-Ubangi",1560754.81902695,0.526511640120173,0.475784321838773,2020
"COD","Democratic Republic of the Congo","COD.21_1","Sankuru",206320.247060263,0.28829214471313,0.216555502377073,2020
"COD","Democratic Republic of the Congo","COD.22_1","Sud-Kivu",6134380.49285705,0.184221319729917,0.0904766167503435,2020
"COD","Democratic Republic of the Congo","COD.23_1","Sud-Ubangi",2992850.62279856,0.454927732612346,0.423795345344874,2020
"COD","Democratic Republic of the Congo","COD.24_1","Tanganyika",5545851.9944212,0.317223510324401,0.327978073438149,2020
"COD","Democratic Republic of the Congo","COD.25_1","Tshopo",3528209.96601249,0.56357366386041,0.509007607975473,2020
"COD","Democratic Republic of the Congo","COD.26_1","Tshuapa",1676531.45425821,0.630719555650313,0.643662571710884,2020
"COG","Republic of Congo","COG.1_1","Bouenza",265286.921427354,0.184276608401567,0.181051259279461,2020
"COG","Republic of Congo","COG.2_1","Brazzaville",649344.429830194,0.146894113719463,0.148666500028432,2020
"COG","Republic of Congo","COG.4_1","Cuvette",176851.77378444,0.287009937547062,0.281283013187827,2020
"COG","Republic of Congo","COG.3_1","Cuvette-Ouest",171690.600812018,0.354741919937593,0.32510124412217,2020
"COG","Republic of Congo","COG.5_1","Kouilou",369621.539762139,0.327305490969662,0.259441003174869,2020
"COG","Republic of Congo","COG.6_1","Lékoumou",161783.265579805,0.261701949811114,0.254755723097573,2020
"COG","Republic of Congo","COG.7_1","Likouala",1129785.12362382,0.470257266457741,0.436240128508875,2020
"COG","Republic of Congo","COG.8_1","Niari",157227.088704586,0.325683659805147,0.3157723000183,2020
"COG","Republic of Congo","COG.9_1","Plateaux",116815.806764167,0.197374925057264,0.197037679812521,2020
"COG","Republic of Congo","COG.10_1","Pointe Noire",101057.836547852,0.177219385902087,0.176052203894444,2020
"COG","Republic of Congo","COG.11_1","Pool",636506.722700639,0.200120171841155,0.2043060266248,2020
"COG","Republic of Congo","COG.12_1","Sangha",109784.948267668,0.457791830102603,0.437530548335206,2020
