"GID_0","NAME_0","GID_1","NAME_1","GID_2","NAME_2","population","ITN_coverage_mean","ITN_coverage_pop_weighted","year"
"DJI","Djibouti","DJI.1_1","Ali Sabieh","DJI.1.1_1","Ali Sabieh",131398.888175011,4.38145165672926e-05,8.8790087606829e-05,2020
"DJI","Djibouti","DJI.2_1","Dikhil","DJI.2.1_1","As Eyla",34074.8251400143,0.000801087249459575,0.000549309085466632,2020
"DJI","Djibouti","DJI.2_1","Dikhil","DJI.2.2_1","Dikhil",51373.372086525,6.00939593392075e-05,0.000198988707188923,2020
"DJI","Djibouti","DJI.2_1","Dikhil","DJI.2.3_1","Yoboki",53217.9838965982,0.00253735198925144,0.00224729403481706,2020
"DJI","Djibouti","DJI.3_1","Djibouti","DJI.3.1_1","Djibouti",579012.040036201,0.000575836772655849,0.00286122083811082,2020
"DJI","Djibouti","DJI.4_1","Obock","DJI.4.1_1","Alaili Dadda",15256.5695307255,0.000149998371677045,0.000250082400101959,2020
"DJI","Djibouti","DJI.4_1","Obock","DJI.4.2_1","Obock",51450.1107504368,0.000282114423263481,0.000868607631943656,2020
"DJI","Djibouti","DJI.5_1","Tadjourah","DJI.5.1_1","Balha",31766.3901362419,0.000728588003036426,0.000696705615340454,2020
"DJI","Djibouti","DJI.5_1","Tadjourah","DJI.5.2_1","Dorra",28601.0327962637,0.000359021876846555,0.000481367800126038,2020
"DJI","Djibouti","DJI.5_1","Tadjourah","DJI.5.3_1","Randa",46207.5287926197,1.20383859663911e-05,1.69183775351189e-05,2020
"DJI","Djibouti","DJI.5_1","Tadjourah","DJI.5.4_1","Tadjourah",51338.3170261383,0.000144627080931306,0.00012182259827043,2020
