"GID_0","NAME_0","GID_1","NAME_1","GID_2","NAME_2","population","coverage_mean","coverage_pop_weighted","year"
"DJI","Djibouti","DJI.1_1","Ali Sabieh","DJI.1.1_1","Ali Sabieh",112694.871223688,0.000362871164425087,0.00076432508986199,2017
"DJI","Djibouti","DJI.2_1","Dikhil","DJI.2.1_1","As Eyla",34308.0951450318,0.00350004917586846,0.00237015913943524,2017
"DJI","Djibouti","DJI.2_1","Dikhil","DJI.2.2_1","Dikhil",47000.2713289261,0.00040509645283634,0.00134513417557254,2017
"DJI","Djibouti","DJI.2_1","Dikhil","DJI.2.3_1","Yoboki",49209.5280275941,0.0087753917815734,0.00734804964167702,2017
"DJI","Djibouti","DJI.3_1","Djibouti","DJI.3.1_1","Djibouti",535837.290916443,0.00348491520092336,0.0203244717685408,2017
"DJI","Djibouti","DJI.4_1","Obock","DJI.4.1_1","Alaili Dadda",14420.0419294834,0.000697918357548891,0.00126536997887068,2017
"DJI","Djibouti","DJI.4_1","Obock","DJI.4.2_1","Obock",39379.2818856239,0.000977020846940055,0.00369943034242078,2017
"DJI","Djibouti","DJI.5_1","Tadjourah","DJI.5.1_1","Balha",27167.0261176229,0.00557208134186176,0.00697477946270992,2017
"DJI","Djibouti","DJI.5_1","Tadjourah","DJI.5.2_1","Dorra",24796.3474142551,0.00140386582452493,0.00224162202970405,2017
"DJI","Djibouti","DJI.5_1","Tadjourah","DJI.5.3_1","Randa",39623.6302130222,0.000123327821478766,0.000168436437087418,2017
"DJI","Djibouti","DJI.5_1","Tadjourah","DJI.5.4_1","Tadjourah",39651.3405938148,0.000755978577320672,0.000582495867180359,2017
"ERI","Eritrea","ERI.1_1","Anseba","ERI.1.1_1","Asmara City",284532.302242279,2.91968348977077e-06,1.59440275733801e-06,2017
"ERI","Eritrea","ERI.1_1","Anseba","ERI.1.2_1","Berikh",98005.5411109924,6.2748600953455e-06,4.34655002821426e-06,2017
"ERI","Eritrea","ERI.1_1","Anseba","ERI.1.3_1","Ghala Nefhi",161916.393032074,5.60268088201571e-06,3.62298703624534e-06,2017
"ERI","Eritrea","ERI.1_1","Anseba","ERI.1.4_1","Serejeka",61897.4413032532,2.37799104944805e-05,2.44760734557418e-05,2017
"ERI","Eritrea","ERI.2_1","Debub","ERI.2.1_1","Afabet",196221.093030214,0.00106213351453744,0.00126602759548471,2017
"ERI","Eritrea","ERI.2_1","Debub","ERI.2.2_1","Foro",127509.608626366,0.00539045639800576,0.00472170797004172,2017
"ERI","Eritrea","ERI.2_1","Debub","ERI.2.3_1","Ghelaelo'",71250.5769524574,0.00583167750942125,0.00698684252779738,2017
"ERI","Eritrea","ERI.2_1","Debub","ERI.2.4_1","Ghida`e",168042.315385818,0.0156954835057639,0.013940541060204,2017
"ERI","Eritrea","ERI.2_1","Debub","ERI.2.5_1","Karora",80065.2800506353,0.00806099410320249,0.0130077776001078,2017
"ERI","Eritrea","ERI.2_1","Debub","ERI.2.6_1","Mitswa`e City",75757.1683330536,0.000883469413868928,0.000769937810527216,2017
"ERI","Eritrea","ERI.2_1","Debub","ERI.2.7_1","Nakfa",200202.513730288,0.00972674687770576,0.00954937507843224,2017
"ERI","Eritrea","ERI.2_1","Debub","ERI.2.8_1","Sheib",123983.710519314,0.0114116599070421,0.0103312955330872,2017
"ERI","Eritrea","ERI.3_1","Debubawi Keyih Bahri","ERI.3.1_1","Areta'",24305.9326143265,0.00326334104033365,0.00577872668296315,2017
"ERI","Eritrea","ERI.3_1","Debubawi Keyih Bahri","ERI.3.2_1","Central So. Red-Sea",21316.7610613555,0.000541036785958609,0.000461109186286515,2017
"ERI","Eritrea","ERI.3_1","Debubawi Keyih Bahri","ERI.3.3_1","Dahlak",5323.08493232727,0.0205646375536017,0.0238501760684901,2017
"ERI","Eritrea","ERI.3_1","Debubawi Keyih Bahri","ERI.3.4_1","So. Southern Red-Sea",47619.281661395,2.54891530921163e-06,3.71724094943864e-06,2017
"ERI","Eritrea","ERI.4_1","Gash Barka","ERI.4.1_1","Akordat",22122.2464647293,0.0151013902935159,0.0160049975963161,2017
"ERI","Eritrea","ERI.4_1","Gash Barka","ERI.4.2_1","Barentu",33424.0632247925,0.002703497275347,0.00162243425388192,2017
"ERI","Eritrea","ERI.4_1","Gash Barka","ERI.4.3_1","Dghe",88510.1250314713,0.0119610855949386,0.0140589498455169,2017
"ERI","Eritrea","ERI.4_1","Gash Barka","ERI.4.4_1","Forto",56250.4982609749,0.00964513408832121,0.0101283771524839,2017
"ERI","Eritrea","ERI.4_1","Gash Barka","ERI.4.5_1","Gogne",59371.4860653877,0.00300700769551694,0.00289339614659868,2017
"ERI","Eritrea","ERI.4_1","Gash Barka","ERI.4.6_1","Haykota",58023.9140758514,0.00624408672857416,0.00528180212409894,2017
"ERI","Eritrea","ERI.4_1","Gash Barka","ERI.4.7_1","La`Elay Gash",89057.2031188011,0.00305302061811248,0.00272765406617264,2017
"ERI","Eritrea","ERI.4_1","Gash Barka","ERI.4.8_1","Logo Anseba",59486.6452589035,0.023657921411874,0.0147722115958908,2017
"ERI","Eritrea","ERI.4_1","Gash Barka","ERI.4.9_1","Mansura",54548.6745181084,0.00798604989142081,0.00964480177171067,2017
"ERI","Eritrea","ERI.4_1","Gash Barka","ERI.4.10_1","Mogolo",25385.6782603264,0.00340321778930956,0.0030176825090937,2017
"ERI","Eritrea","ERI.4_1","Gash Barka","ERI.4.11_1","Omhajer",113414.192388535,0.00184773340880213,0.00178850155271308,2017
"ERI","Eritrea","ERI.4_1","Gash Barka","ERI.4.12_1","Shemboko",115164.895063877,0.00187020357644423,0.00244685089700896,2017
"ERI","Eritrea","ERI.4_1","Gash Barka","ERI.4.13_1","Teseneye",68353.1511435509,0.00914974567981867,0.00484524175801852,2017
"ERI","Eritrea","ERI.5_1","Maekel","ERI.5.1_1","Adi Keyih",87895.9370250702,0.00014874074410424,0.000112689560690536,2017
"ERI","Eritrea","ERI.5_1","Maekel","ERI.5.2_1","Adi Kwala",72176.7940273285,0.000401310615460737,0.000360085701124813,2017
"ERI","Eritrea","ERI.5_1","Maekel","ERI.5.3_1","Areza",112416.629430771,0.00131399789846352,0.00076711015150233,2017
"ERI","Eritrea","ERI.5_1","Maekel","ERI.5.4_1","Dekemehare",91855.8884725571,9.97843713211103e-05,4.35498854458963e-05,2017
"ERI","Eritrea","ERI.5_1","Maekel","ERI.5.5_1","Dibarwa",96851.0424518585,0.00151465676564093,0.000356505433396999,2017
"ERI","Eritrea","ERI.5_1","Maekel","ERI.5.6_1","Kudo Bu`er",38074.3913249969,0.000159849831702955,0.000122756690660384,2017
"ERI","Eritrea","ERI.5_1","Maekel","ERI.5.7_1","May Mine",32303.1953907013,0.00232090064449809,0.00192717701031065,2017
"ERI","Eritrea","ERI.5_1","Maekel","ERI.5.8_1","Mendefera",98144.0160484314,2.30878810467017e-05,1.6386153460111e-05,2017
"ERI","Eritrea","ERI.5_1","Maekel","ERI.5.9_1","Segeneyiti",68950.5057468414,7.61181926528869e-05,4.93540756326474e-05,2017
"ERI","Eritrea","ERI.5_1","Maekel","ERI.5.10_1","Senafe",73356.9998054504,0.000426166947715956,0.000223698469873865,2017
"ERI","Eritrea","ERI.5_1","Maekel","ERI.5.11_1","Tsorena",69837.8202056885,0.000437026140227519,0.0004425151524351,2017
"ERI","Eritrea","ERI.6_1","Semenawi Keyih Bahri","ERI.6.1_1","Adi Teklezan",44063.6899185181,6.47843280335912e-05,5.4273539159778e-05,2017
