"GID_0","NAME_0","GID_1","NAME_1","population","arab_abundance","fun_abundance","gamb_abundance","arab_pop_weighted_abundance","fun_pop_weighted_abundance","gamb_pop_weighted_abundance","year"
"CPV","Cape Verde","CPV.1_1","Boa Vista",16716.8362665176,NA,NA,NA,NA,NA,NA,2020
"CPV","Cape Verde","CPV.2_1","Brava",3214.36983108521,NA,NA,NA,NA,NA,NA,2020
"CPV","Cape Verde","CPV.3_1","Maio",5726.63105416298,NA,NA,NA,NA,NA,NA,2020
"CPV","Cape Verde","CPV.4_1","Mosteiros",4389.95810127258,NA,NA,NA,NA,NA,NA,2020
"CPV","Cape Verde","CPV.5_1","Paúl",5181.01037454605,NA,NA,NA,NA,NA,NA,2020
"CPV","Cape Verde","CPV.6_1","Porto Novo",7761.82334697247,NA,NA,NA,NA,NA,NA,2020
"CPV","Cape Verde","CPV.7_1","Praia",11775.2251091003,NA,NA,NA,NA,NA,NA,2020
"CPV","Cape Verde","CPV.8_1","Ribeira Brava",6727.67288899422,NA,NA,NA,NA,NA,NA,2020
"CPV","Cape Verde","CPV.9_1","Ribeira Grande",21822.286968708,NA,NA,NA,NA,NA,NA,2020
"CPV","Cape Verde","CPV.10_1","Ribeira Grande de Santiago",9630.81867408752,NA,NA,NA,NA,NA,NA,2020
"CPV","Cape Verde","CPV.11_1","Sal",19000.6089115143,NA,NA,NA,NA,NA,NA,2020
"CPV","Cape Verde","CPV.12_1","Santa Catarina",44236.537191391,NA,NA,NA,NA,NA,NA,2020
"CPV","Cape Verde","CPV.13_1","Santa Catarina do Fogo",19428.1656188965,NA,NA,NA,NA,NA,NA,2020
"CPV","Cape Verde","CPV.14_1","Santa Cruz",20747.5938949585,NA,NA,NA,NA,NA,NA,2020
"CPV","Cape Verde","CPV.15_1","São Domingos",13296.8699417114,NA,NA,NA,NA,NA,NA,2020
"CPV","Cape Verde","CPV.16_1","São Filipe",11310.2109193802,NA,NA,NA,NA,NA,NA,2020
"CPV","Cape Verde","CPV.17_1","São Lourenço dos Órgãos",130414.059467316,NA,NA,NA,NA,NA,NA,2020
"CPV","Cape Verde","CPV.18_1","São Miguel",6143.76155662537,NA,NA,NA,NA,NA,NA,2020
"CPV","Cape Verde","CPV.19_1","São Salvador do Mundo",15154.5807304382,NA,NA,NA,NA,NA,NA,2020
"CPV","Cape Verde","CPV.20_1","São Vicente",74313.849193573,NA,NA,NA,NA,NA,NA,2020
"CPV","Cape Verde","CPV.21_1","Tarrafal",38250.3457107544,NA,NA,NA,NA,NA,NA,2020
"CPV","Cape Verde","CPV.22_1","Tarrafal de São Nicolau",4231.78840351105,NA,NA,NA,NA,NA,NA,2020
"DJI","Djibouti","DJI.1_1","Ali Sabieh",130718.770709038,NA,NA,NA,NA,NA,NA,2020
"DJI","Djibouti","DJI.2_1","Dikhil",138112.937571883,1,0,0,1,0,0,2020
"DJI","Djibouti","DJI.3_1","Djibouti",528999.315176964,NA,NA,NA,NA,NA,NA,2020
"DJI","Djibouti","DJI.4_1","Obock",63309.7117214203,1,0,0,1,0,0,2020
"DJI","Djibouti","DJI.5_1","Tadjourah",159070.5014292,1,0,0,1,0,0,2020
