"GID_0","NAME_0","GID_1","NAME_1","population","arab_abundance","fun_abundance","gamb_abundance","arab_pop_weighted_abundance","fun_pop_weighted_abundance","gamb_pop_weighted_abundance","year"
"NER","Niger","NER.1_1","Agadez",671296.369556883,1,0,0,1,0,0,2020
"NER","Niger","NER.2_1","Diffa",889355.058534212,0.997926707795777,0.00201354882835187,5.97433758708877e-05,0.995776399961863,0.00409344314766149,0.00013015689047595,2020
"NER","Niger","NER.3_1","Dosso",2552224.34229946,0.94116657268055,0.0419676155312461,0.0168658117882037,0.927425320931816,0.0494671084945965,0.0231075705735871,2020
"NER","Niger","NER.4_1","Maradi",4628321.64468849,0.988418157910754,0.0115750650759159,6.77701332960773e-06,0.984355490724016,0.0156388155627733,5.69371321106063e-06,2020
"NER","Niger","NER.5_1","Niamey",1192047.65099335,0.817854599431157,0.156487162491328,0.0256582380775143,0.738600270382273,0.230503592888461,0.0308961367292658,2020
"NER","Niger","NER.6_1","Tahoua",5019371.43744054,0.993675723216762,0.00630026664297376,2.40101402644768e-05,0.986773748713218,0.0131723248766442,5.3926410137584e-05,2020
"NER","Niger","NER.7_1","Tillabéry",3725538.92909145,0.97083979217353,0.0252432418893205,0.00391696593714944,0.966282677127145,0.0288756376420519,0.00484168523080361,2020
"NER","Niger","NER.8_1","Zinder",5260091.95394558,0.99513845686378,0.0048615431362204,0,0.989525028172079,0.0104749718279206,0,2020
"NGA","Nigeria","NGA.1_1","Abia",4242682.77242279,0.442088282070107,0.165762671560621,0.392149046369271,0.474730087201875,0.168493183255415,0.35677672954271,2020
"NGA","Nigeria","NGA.2_1","Adamawa",4589459.51340282,0.746941895705357,0.147094310257861,0.105963794036782,0.746728437718197,0.157562664954966,0.0957088973268377,2020
"NGA","Nigeria","NGA.3_1","Akwa Ibom",5988934.18358135,0.668082555241173,0.117407881441217,0.21450956331761,0.663677584033434,0.12583691738946,0.210485498577107,2020
"NGA","Nigeria","NGA.4_1","Anambra",5869516.43431854,0.451541101784504,0.167175221147052,0.381283677068444,0.496888341039858,0.151706570531158,0.351405088428984,2020
"NGA","Nigeria","NGA.5_1","Bauchi",7226995.64345074,0.805232219286299,0.177462182852593,0.0173055978611085,0.800988753840012,0.188386564546396,0.0106246816135922,2020
"NGA","Nigeria","NGA.6_1","Bayelsa",2540359.80150127,0.919966666465243,0.0209585044945728,0.059074829040184,0.883054284181465,0.0256961417657782,0.0912495740527564,2020
"NGA","Nigeria","NGA.7_1","Benue",6354369.55289841,0.419736521282997,0.124928436254438,0.455335042462565,0.410872908572357,0.138500724563201,0.450626366864441,2020
"NGA","Nigeria","NGA.8_1","Borno",6614194.82649994,0.888545798907632,0.101552615064909,0.00990158602745909,0.853318297375321,0.129433308588956,0.0172483940357229,2020
"NGA","Nigeria","NGA.9_1","Cross River",4326543.7683723,0.336100369706903,0.155812415751056,0.508087214542042,0.447838397614049,0.151692390421444,0.400469211964507,2020
"NGA","Nigeria","NGA.10_1","Delta",6304987.98897111,0.636565559237019,0.0704734938217527,0.292960946941228,0.660964244455625,0.0677204659158475,0.271315289628527,2020
"NGA","Nigeria","NGA.11_1","Ebonyi",3142078.40332794,0.352346759172228,0.202523182408237,0.445130058419536,0.367364100635607,0.205035550885457,0.427600348478935,2020
"NGA","Nigeria","NGA.12_1","Edo",4804837.08376551,0.323781805407408,0.131982396774799,0.544235797817794,0.404311201907003,0.134563234709684,0.461125563383313,2020
"NGA","Nigeria","NGA.13_1","Ekiti",3512323.60943794,0.443059797957613,0.168188722725216,0.388751479317171,0.477609467158671,0.166200178592916,0.356190354248413,2020
"NGA","Nigeria","NGA.14_1","Enugu",4832253.33425331,0.327251859825234,0.204051290023461,0.468696850151305,0.365702601695691,0.204620204720249,0.42967719358406,2020
"NGA","Nigeria","NGA.15_1","Federal Capital Territory",4801845.32012558,0.523411385336796,0.146737901083802,0.329850713579401,0.59847086584506,0.155792327924108,0.245736806230832,2020
"NGA","Nigeria","NGA.16_1","Gombe",3706881.95759219,0.744317578600103,0.220904853318744,0.0347775680811528,0.737778935693971,0.225286642040179,0.0369344222658508,2020
"NGA","Nigeria","NGA.17_1","Imo",6060288.67178345,0.56364479378873,0.122300311862185,0.314054894349085,0.654093280088964,0.0914251903495659,0.25448152956147,2020
"NGA","Nigeria","NGA.18_1","Jigawa",6414424.17365456,0.956590474895603,0.0429804108607575,0.000429114243639654,0.951259743203797,0.0481560201371653,0.000584236659037456,2020
"NGA","Nigeria","NGA.19_1","Kaduna",9244042.69056985,0.706426509589665,0.215547571733738,0.0780259186765967,0.693981238103668,0.245931597330033,0.0600871645662985,2020
"NGA","Nigeria","NGA.20_1","Kano",14734745.968008,0.934734999087066,0.0628034450258245,0.00246155588710946,0.874655687634885,0.123210910981574,0.00213340138354117,2020
"NGA","Nigeria","NGA.21_1","Katsina",8722360.60884857,0.930154145111517,0.0635351575367231,0.00631069735175996,0.933722429873056,0.0609419088370289,0.00533566128991513,2020
"NGA","Nigeria","NGA.22_1","Kebbi",4972560.5572834,0.644412375741383,0.209411481815298,0.146176142443319,0.653387205443125,0.211919080485155,0.13469371407172,2020
"NGA","Nigeria","NGA.23_1","Kogi",4970065.69613576,0.411882530639187,0.167257158650277,0.420860310710536,0.429103514463836,0.179541717148283,0.391354768387881,2020
"NGA","Nigeria","NGA.24_1","Kwara",3576882.61219668,0.469281749026594,0.12061852127773,0.410099729695676,0.489461959601522,0.150083567784826,0.360454472613652,2020
"NGA","Nigeria","NGA.25_1","Lagos",13503263.790319,0.489817885303374,0.0863957755641435,0.423786339132483,0.506842243137072,0.208227301275103,0.284930455587825,2020
"NGA","Nigeria","NGA.26_1","Nassarawa",2845545.8634423,0.538103780977119,0.133549792649552,0.32834642637333,0.570276500679924,0.140898272734385,0.288825226585692,2020
"NGA","Nigeria","NGA.27_1","Niger",6275807.3934609,0.527479508620554,0.15809091701321,0.314429574366235,0.547171963372808,0.15211566595627,0.300712370670922,2020
"NGA","Nigeria","NGA.28_1","Ogun",6151696.41499805,0.503438779676095,0.130722026643323,0.365839193680582,0.55911526398862,0.14803598079026,0.29284875522112,2020
"NGA","Nigeria","NGA.29_1","Ondo",5195516.79648638,0.393518192848405,0.121043989438919,0.485437817712676,0.423573010271846,0.14349311055084,0.432933879177315,2020
"NGA","Nigeria","NGA.30_1","Osun",5207910.53634548,0.360096106678966,0.154165305834711,0.485738587486323,0.394896960406581,0.173710454738465,0.431392584854955,2020
"NGA","Nigeria","NGA.31_1","Oyo",8707670.00483072,0.436511010864413,0.159726634990879,0.403762354144708,0.472868447692661,0.161598303079004,0.365533249228335,2020
"NGA","Nigeria","NGA.32_1","Plateau",4775830.95480156,0.684005441765012,0.179819392393405,0.136175165841583,0.722808628108748,0.185656738372765,0.0915346335184866,2020
"NGA","Nigeria","NGA.33_1","Rivers",7252733.86810493,0.675163591671202,0.0713109033458939,0.253525504982904,0.725876779594173,0.0553719924714467,0.21875122793438,2020
"NGA","Nigeria","NGA.34_1","Sokoto",5588418.51554054,0.857527491809074,0.107218004699323,0.0352545034916032,0.837561109453524,0.134789327043524,0.0276495635029525,2020
"NGA","Nigeria","NGA.35_1","Taraba",3379233.73313349,0.523199333323943,0.143287879686872,0.333512786989185,0.563325439933165,0.136718802330268,0.299955757736567,2020
"NGA","Nigeria","NGA.36_1","Yobe",3713532.82344437,0.922058229152758,0.0755766663003661,0.00236510454687559,0.915921260057496,0.0815931381600504,0.00248560178245382,2020
"NGA","Nigeria","NGA.37_1","Zamfara",4957137.81262589,0.771690990069434,0.186921457802089,0.0413875521284772,0.827883841697618,0.144677394686367,0.027438763616015,2020
