"GID_0","NAME_0","GID_1","NAME_1","GID_2","NAME_2","population","arab_abundance","fun_abundance","gamb_abundance","arab_pop_weighted_abundance","fun_pop_weighted_abundance","gamb_pop_weighted_abundance","year"
"MRT","Mauritania","MRT.1_1","Adrar","MRT.1.1_1","Aoujeft",10290.660873089,NA,NA,NA,NA,NA,NA,2020
"MRT","Mauritania","MRT.1_1","Adrar","MRT.1.2_1","Atar",39406.7558356673,NA,NA,NA,NA,NA,NA,2020
"MRT","Mauritania","MRT.1_1","Adrar","MRT.1.3_1","Chinguetti",10938.2029262371,NA,NA,NA,NA,NA,NA,2020
"MRT","Mauritania","MRT.2_1","Assaba","MRT.2.1_1","Barkéol",92437.6409143209,1,0,0,1,0,0,2020
"MRT","Mauritania","MRT.2_1","Assaba","MRT.2.2_1","Boumdeïd",7146.27898743749,NA,NA,NA,NA,NA,NA,2020
"MRT","Mauritania","MRT.2_1","Assaba","MRT.2.3_1","Guérou",52024.9268408418,1,0,0,1,0,0,2020
"MRT","Mauritania","MRT.2_1","Assaba","MRT.2.4_1","Kankossa",97305.1271224022,0.993021292806213,0.00685380532716353,0.000124901866623428,0.993395205857842,0.00648355926809757,0.000121234874060778,2020
"MRT","Mauritania","MRT.2_1","Assaba","MRT.2.5_1","Kiffa",133625.542161211,1,0,0,1,0,0,2020
"MRT","Mauritania","MRT.3_1","Brakna","MRT.3.1_1","Aleg",139129.172904253,0.913862987449141,0.00357142857142857,0.0825655839794306,0.822280762357516,0.129452200701394,0.0482670369410898,2020
"MRT","Mauritania","MRT.3_1","Brakna","MRT.3.2_1","Bababé",35010.0901675224,0.95928191082322,0,0.0407180891767797,0.978187894459478,0,0.0218121055405221,2020
"MRT","Mauritania","MRT.3_1","Brakna","MRT.3.3_1","Boghé",72643.6775228977,0.980489742791356,0.000182852596585826,0.0193274046120581,0.985540501493589,0.000483775110789739,0.0139757233956214,2020
"MRT","Mauritania","MRT.3_1","Brakna","MRT.3.4_1","M'Bagne",46583.4694538116,0.994319859441557,0,0.00568014055844271,0.993972803213802,0,0.00602719678619834,2020
"MRT","Mauritania","MRT.3_1","Brakna","MRT.3.5_1","Magta-Lahjar",65877.1413363665,1,0,0,1,0,0,2020
"MRT","Mauritania","MRT.4_1","Dakhlet Nouadhibou","MRT.4.1_1","Nouadhibou",100135.215577055,1,0,0,1,0,0,2020
"MRT","Mauritania","MRT.5_1","Gorgol","MRT.5.1_1","Kaédi",138425.258137941,0.947498540217988,0.0300429974489205,0.0224584623330915,0.959492602659698,0.0185565224393229,0.0219508749009785,2020
"MRT","Mauritania","MRT.5_1","Gorgol","MRT.5.2_1","M'Bout",121013.194184899,0.791985274532412,0.186241154063936,0.0217735714036516,0.803278053489209,0.179668673373374,0.0170532731374171,2020
"MRT","Mauritania","MRT.5_1","Gorgol","MRT.5.3_1","Maghama",77594.0536016226,0.949027835242853,0.030346831434046,0.0206253333231015,0.942903053039007,0.03270122112113,0.0243957258398634,2020
"MRT","Mauritania","MRT.5_1","Gorgol","MRT.5.4_1","Monguel",51099.9939043522,0.931434855095193,0,0.0685651449048067,0.947003909175501,0,0.0529960908244988,2020
"MRT","Mauritania","MRT.6_1","Guidimaka","MRT.6.1_1","Ould Yengé",85880.4165430069,0.989313969662406,0.0104707863159804,0.000215244021613888,0.989623387257243,0.0101048236312697,0.00027178911148707,2020
"MRT","Mauritania","MRT.6_1","Guidimaka","MRT.6.2_1","Sélibaby",244017.047138214,0.866696886549306,0.0848990318034238,0.0484040816472698,0.862410593401591,0.0856233226086938,0.0519660839897156,2020
"MRT","Mauritania","MRT.7_1","Hodh ech Chargui","MRT.7.1_1","Amourj",111138.507923663,0.997479598456236,0.00252040154376378,0,0.996885604036471,0.00311439596352945,0,2020
"MRT","Mauritania","MRT.7_1","Hodh ech Chargui","MRT.7.2_1","Bassikounou",202264.880029947,0.999823964686735,0.000176035313264769,0,0.999723240069531,0.000276759930469287,0,2020
"MRT","Mauritania","MRT.7_1","Hodh ech Chargui","MRT.7.3_1","Djiguenni",70336.1718652248,0.999031280210875,0.000968719789124754,0,0.998182203136957,0.00181779686304258,0,2020
"MRT","Mauritania","MRT.7_1","Hodh ech Chargui","MRT.7.4_1","Néma",103405.603989184,1,0,0,1,0,0,2020
"MRT","Mauritania","MRT.7_1","Hodh ech Chargui","MRT.7.5_1","Ouadane",17236.8671905794,1,0,0,1,0,0,2020
"MRT","Mauritania","MRT.7_1","Hodh ech Chargui","MRT.7.6_1","Timbédra",94932.739789933,0.999493600500554,0.000506399499445992,0,0.99907979507217,0.000920204927829911,0,2020
"MRT","Mauritania","MRT.8_1","Hodh el Gharbi","MRT.8.1_1","Aïoun",79710.4681843519,1,0,0,1,0,0,2020
"MRT","Mauritania","MRT.8_1","Hodh el Gharbi","MRT.8.2_1","Kobenni",103890.863641322,0.989114090146917,0.00945967853085625,0.0014262313222269,0.982873576093609,0.0146749268346364,0.00245149707175479,2020
"MRT","Mauritania","MRT.8_1","Hodh el Gharbi","MRT.8.3_1","Tamchakett",44758.1999569759,1,0,0,1,0,0,2020
"MRT","Mauritania","MRT.8_1","Hodh el Gharbi","MRT.8.4_1","Tintane",127033.250597596,0.995510293078942,0.00435140389305734,0.00013830302800047,0.992356017115629,0.00731228743773914,0.000331695446631729,2020
"MRT","Mauritania","MRT.9_1","Inchiri","MRT.9.1_1","Akjoujt",26192.5431968195,NA,NA,NA,NA,NA,NA,2020
"MRT","Mauritania","MRT.10_1","Nouakchott","MRT.10.1_1","Nouakchott",1352620.10668764,NA,NA,NA,NA,NA,NA,2020
"MRT","Mauritania","MRT.11_1","Tagant","MRT.11.1_1","Moudjéria",44317.1997143701,NA,NA,NA,NA,NA,NA,2020
"MRT","Mauritania","MRT.11_1","Tagant","MRT.11.2_1","Tichitt",4365.34792358056,NA,NA,NA,NA,NA,NA,2020
"MRT","Mauritania","MRT.11_1","Tagant","MRT.11.3_1","Tidjikja",34884.2489147969,NA,NA,NA,NA,NA,NA,2020
"MRT","Mauritania","MRT.12_1","Tiris Zemmour","MRT.12.1_1","Bir Moghreïn",4652.8242272865,NA,NA,NA,NA,NA,NA,2020
