"GID_0","NAME_0","GID_1","NAME_1","GID_2","NAME_2","population","arab_abundance","fun_abundance","gamb_abundance","arab_pop_weighted_abundance","fun_pop_weighted_abundance","gamb_pop_weighted_abundance","year"
"SOM","Somalia","SOM.1_1","Awdal","SOM.1.1_1","Baki",39712.0871510506,1,0,0,1,0,0,2020
"SOM","Somalia","SOM.1_1","Awdal","SOM.1.2_1","Boorama",308985.028722525,0.999422133320863,0.000577866679137405,0,0.999495176088192,0.000504823911807498,0,2020
"SOM","Somalia","SOM.1_1","Awdal","SOM.1.3_1","Lughaya",50349.8456678391,1,0,0,1,0,0,2020
"SOM","Somalia","SOM.1_1","Awdal","SOM.1.4_1","Zeylac",41874.1687202454,1,0,0,1,0,0,2020
"SOM","Somalia","SOM.2_1","Bakool","SOM.2.1_1","Ceel Barde",41996.167550087,1,0,0,1,0,0,2020
"SOM","Somalia","SOM.2_1","Bakool","SOM.2.2_1","Rab Dhuure",55414.724501133,1,0,0,1,0,0,2020
"SOM","Somalia","SOM.2_1","Bakool","SOM.2.3_1","Tiyeeglow",120202.992439747,0.999971180743374,2.88192566261304e-05,0,0.999982122249729,1.78777502707116e-05,0,2020
"SOM","Somalia","SOM.2_1","Bakool","SOM.2.4_1","Wajid",101287.88866806,1,0,0,1,0,0,2020
"SOM","Somalia","SOM.2_1","Bakool","SOM.2.5_1","Xudur",134010.27029562,1,0,0,1,0,0,2020
"SOM","Somalia","SOM.3_1","Banaadir","SOM.3.1_1","Mogadisho",988472.377876282,1,0,0,1,0,0,2020
"SOM","Somalia","SOM.4_1","Bari","SOM.4.1_1","Bander-Beyla",20629.3671203256,1,0,0,1,0,0,2020
"SOM","Somalia","SOM.4_1","Bari","SOM.4.2_1","Bosaaso",237218.795142412,1,0,0,1,0,0,2020
"SOM","Somalia","SOM.4_1","Bari","SOM.4.3_1","Calawla",56141.4872756004,NA,NA,NA,NA,NA,NA,2020
"SOM","Somalia","SOM.4_1","Bari","SOM.4.4_1","Iskushuban",64438.2645516396,1,0,0,1,0,0,2020
"SOM","Somalia","SOM.4_1","Bari","SOM.4.5_1","Qandala",62896.3885500431,NA,NA,NA,NA,NA,NA,2020
"SOM","Somalia","SOM.4_1","Bari","SOM.4.6_1","Qardho",117615.565423965,1,0,0,1,0,0,2020
"SOM","Somalia","SOM.5_1","Bay","SOM.5.1_1","Baydhabo",466048.482308865,0.999854732005714,0.000145267994286408,0,0.999826496249309,0.000173503750691282,0,2020
"SOM","Somalia","SOM.5_1","Bay","SOM.5.2_1","Buur Xakaba",190447.605516434,0.999737971288423,0.000262028711577243,0,0.999821582886565,0.00017841711343525,0,2020
"SOM","Somalia","SOM.5_1","Bay","SOM.5.3_1","Diinsoor",110147.856360912,0.982285104951884,0.0177148950481163,0,0.967997172049404,0.0320028279505958,0,2020
"SOM","Somalia","SOM.5_1","Bay","SOM.5.4_1","Qansax Dheere",148956.22147131,0.999930876330318,6.91236696819718e-05,0,0.999958935708415,4.10642915851285e-05,0,2020
"SOM","Somalia","SOM.6_1","Galguduud","SOM.6.1_1","Caabudwaaq",64902.2573912144,1,0,0,1,0,0,2020
"SOM","Somalia","SOM.6_1","Galguduud","SOM.6.2_1","Cadaado",67454.3678719997,1,0,0,1,0,0,2020
"SOM","Somalia","SOM.6_1","Galguduud","SOM.6.3_1","Ceel Buur",116609.174677134,1,0,0,1,0,0,2020
