"GID_0","NAME_0","GID_1","NAME_1","population","ITN_coverage_mean","ITN_coverage_pop_weighted","year"
"KEN","Kenya","KEN.1_1","Baringo",804401.317004882,0.48163143828852,0.426825686322101,2020
"KEN","Kenya","KEN.2_1","Bomet",1130100.43026499,0.565969415161074,0.558099219702008,2020
"KEN","Kenya","KEN.3_1","Bungoma",2046278.91822019,0.541156634250108,0.540302064977165,2020
"KEN","Kenya","KEN.4_1","Busia",955893.977796078,0.555309828225668,0.526560540838724,2020
"KEN","Kenya","KEN.5_1","Elgeyo-Marakwet",502490.277923584,0.482360654017504,0.207874963920816,2020
"KEN","Kenya","KEN.6_1","Embu",625166.124568089,0.567002351593784,0.567265027323217,2020
"KEN","Kenya","KEN.7_1","Garissa",1490831.91278573,0.481711695190182,0.481244010849768,2020
"KEN","Kenya","KEN.8_1","Homa Bay",1194125.12173629,0.553133369469252,0.55103731954832,2020
"KEN","Kenya","KEN.9_1","Isiolo",182537.323158402,0.485624096262626,0.472142031818018,2020
"KEN","Kenya","KEN.10_1","Kajiado",1022929.32593978,0.533508787750013,0.400455702865983,2020
"KEN","Kenya","KEN.11_1","Kakamega",1916106.45662461,0.5130903537859,0.512884408333208,2020
"KEN","Kenya","KEN.12_1","Kericho",1068156.30894332,0.550490775415974,0.50007952259099,2020
"KEN","Kenya","KEN.13_1","Kiambu",1781996.50043793,0.562341352303823,0.261827023319461,2020
"KEN","Kenya","KEN.14_1","Kilifi",1395627.57243669,0.552259198307586,0.549334926205199,2020
"KEN","Kenya","KEN.15_1","Kirinyaga",652116.720494151,0.563207623205687,0.563423364509374,2020
"KEN","Kenya","KEN.16_1","Kisii",1437405.48782349,0.562637949182141,0.562979327876426,2020
"KEN","Kenya","KEN.17_1","Kisumu",1248101.56995392,0.561870752691149,0.562066430639604,2020
"KEN","Kenya","KEN.18_1","Kitui",1276468.83583343,0.484182092253231,0.484225611124199,2020
"KEN","Kenya","KEN.19_1","Kwale",844420.403548263,0.515039247399553,0.509297127220943,2020
"KEN","Kenya","KEN.20_1","Laikipia",607870.776916265,0.470660280446952,0.22266627401714,2020
"KEN","Kenya","KEN.21_1","Lamu",95621.4265115485,0.482812184483221,0.469391178901234,2020
"KEN","Kenya","KEN.22_1","Machakos",1336989.86645269,0.558397315442562,0.558858496472369,2020
"KEN","Kenya","KEN.23_1","Makueni",1108685.43980613,0.490510064070342,0.489278045061061,2020
"KEN","Kenya","KEN.24_1","Mandera",2634770.12566757,0.481362982384891,0.481379455089718,2020
"KEN","Kenya","KEN.25_1","Marsabit",349820.130833987,0.563266663002119,0.539971004610796,2020
"KEN","Kenya","KEN.26_1","Meru",1726238.30218792,0.567358042113483,0.510352912227022,2020
"KEN","Kenya","KEN.27_1","Migori",1165761.14920759,0.561435391583781,0.548352269099017,2020
"KEN","Kenya","KEN.28_1","Mombasa",1144229.96500397,0.563435153527693,0.440235375385771,2020
"KEN","Kenya","KEN.29_1","Murang'a",1124812.08754327,0.565393888950348,0.510451597342659,2020
"KEN","Kenya","KEN.30_1","Nairobi",4960933.49445486,0.561198645167881,0.0139441817981028,2020
"KEN","Kenya","KEN.31_1","Nakuru",2363474.82880771,0.549316043190181,0.338677581606401,2020
"KEN","Kenya","KEN.32_1","Nandi",1120230.30644768,0.562195901197332,0.561826128311915,2020
"KEN","Kenya","KEN.33_1","Narok",1330609.8642516,0.489085465669632,0.336587701877892,2020
"KEN","Kenya","KEN.34_1","Nyamira",769260.338233948,0.558609758104597,0.558539165790993,2020
"KEN","Kenya","KEN.35_1","Nyandarua",687121.031998937,0.551351457834244,0.012173147470599,2020
"KEN","Kenya","KEN.36_1","Nyeri",833941.304484949,0.564947101202878,0.358909181403362,2020
"KEN","Kenya","KEN.37_1","Samburu",329472.075193919,0.510796066976729,0.421412449575435,2020
"KEN","Kenya","KEN.38_1","Siaya",1074861.07771432,0.525032216310501,0.521617605860246,2020
"KEN","Kenya","KEN.39_1","Taita Taveta",405156.54471004,0.491628854526953,0.482417580416459,2020
"KEN","Kenya","KEN.40_1","Tana River",463104.766336476,0.496200496924998,0.495974254507394,2020
"KEN","Kenya","KEN.41_1","Tharaka-Nithi",431571.639180172,0.566683971598035,0.564817849191615,2020
"KEN","Kenya","KEN.42_1","Trans Nzoia",1190050.50722444,0.522357780523975,0.509706517958088,2020
"KEN","Kenya","KEN.43_1","Turkana",1230060.4972608,0.505504536194309,0.482846113070564,2020
"KEN","Kenya","KEN.44_1","Uasin Gishu",1409960.90418893,0.550614167200892,0.451229942843225,2020
"KEN","Kenya","KEN.45_1","Vihiga",725733.959703155,0.561467252395771,0.561297917993625,2020
"KEN","Kenya","KEN.46_1","Wajir",1761079.21807912,0.49097738900441,0.490664784410007,2020
"KEN","Kenya","KEN.47_1","West Pokot",782365.908722758,0.4829468885761,0.41310375054049,2020
"LBR","Liberia","LBR.1_1","Bomi",143376.124658108,0.554487082761588,0.49506874442601,2020
"LBR","Liberia","LBR.2_1","Bong",368040.38061738,0.553012723079468,0.553085149443677,2020
"LBR","Liberia","LBR.3_1","Gbapolu",108570.697178602,0.551215240736117,0.54787665133457,2020
"LBR","Liberia","LBR.4_1","Grand Cape Mount",155992.723791957,0.553890638491687,0.535200027997214,2020
"LBR","Liberia","LBR.5_1","GrandBassa",250964.235837936,0.553367303098951,0.45719449792679,2020
"LBR","Liberia","LBR.6_1","GrandGedeh",165983.930006742,0.550942898662258,0.549775100778055,2020
"LBR","Liberia","LBR.7_1","GrandKru",59657.8309550285,0.552531260071379,0.516399114352792,2020
"LBR","Liberia","LBR.8_1","Lofa",311727.201100111,0.551371231800368,0.535021877716604,2020
"LBR","Liberia","LBR.9_1","Margibi",357835.099094391,0.553940590986839,0.547455812958991,2020
"LBR","Liberia","LBR.10_1","Maryland",158388.8431499,0.553041809675645,0.54407759141457,2020
"LBR","Liberia","LBR.11_1","Montserrado",1335741.75012398,0.554409242706534,0.459698291867448,2020
"LBR","Liberia","LBR.12_1","Nimba",554760.085332632,0.552269802594313,0.552434983586966,2020
"LBR","Liberia","LBR.13_1","River Cess",92649.1354372501,0.553052531943029,0.510787844410656,2020
"LBR","Liberia","LBR.14_1","River Gee",104065.852195501,0.550887505485587,0.549760283324007,2020
"LBR","Liberia","LBR.15_1","Sinoe",116755.88156414,0.551629615326722,0.538849536144112,2020
