"GID_0","NAME_0","GID_1","NAME_1","population","ITN_coverage_mean","ITN_coverage_pop_weighted"
"MRT","Mauritania","MRT.1_1","Adrar",60635.6196349934,0.328114658594131,3.93053525200075e-05
"MRT","Mauritania","MRT.2_1","Assaba",382539.516026214,0.336592953356776,0.334638719184598
"MRT","Mauritania","MRT.3_1","Brakna",359243.551384851,0.337515271132562,0.330632391574655
"MRT","Mauritania","MRT.4_1","Dakhlet Nouadhibou",100135.215577055,NA,0
"MRT","Mauritania","MRT.5_1","Gorgol",388132.499828815,0.340496028705341,0.32749221673226
"MRT","Mauritania","MRT.6_1","Guidimaka",329897.463681221,0.338542114070151,0.330213589802696
"MRT","Mauritania","MRT.7_1","Hodh ech Chargui",599314.77078853,0.337484349145849,0.323144739616399
"MRT","Mauritania","MRT.8_1","Hodh el Gharbi",355392.782380246,0.335303536934678,0.329893195058662
"MRT","Mauritania","MRT.9_1","Inchiri",26192.5431968195,NA,0
"MRT","Mauritania","MRT.10_1","Nouakchott",1352620.10668764,0.340055161288806,0.293965256742655
"MRT","Mauritania","MRT.11_1","Tagant",83566.7965527475,0.333930119018381,0.291255404470764
"MRT","Mauritania","MRT.12_1","Tiris Zemmour",61348.2709652716,NA,0
"MRT","Mauritania","MRT.13_1","Trarza",259835.99602755,0.338476663630891,0.28253385845668
"MUS","Mauritius","MUS.1_1","Agalega Islands",81.0463547706604,NA,0
"MUS","Mauritius","MUS.2_1","Black River",143253.485125542,NA,0
"MUS","Mauritius","MUS.3_1","Flacq",131406.938966751,NA,0
"MUS","Mauritius","MUS.4_1","Grand Port",99863.8009248674,NA,0
"MUS","Mauritius","MUS.5_1","Moka",148214.302044868,NA,0
"MUS","Mauritius","MUS.6_1","Pamplemousses",152360.508451462,NA,0
"MUS","Mauritius","MUS.7_1","Plaines Wilhems",289660.241914034,NA,0
"MUS","Mauritius","MUS.8_1","Port Louis",23389.6571655273,NA,0
"MUS","Mauritius","MUS.9_1","Rivière du Rempart",96439.4880428314,NA,0
"MUS","Mauritius","MUS.10_1","Rodriguez",34007.8178329468,NA,0
"MUS","Mauritius","MUS.11_1","Saint Brandon",0,NA,NA
"MUS","Mauritius","MUS.12_1","Savanne",53478.2526473999,NA,0
